Company Name,Certification ID,Location,Email,Address,Certifying Agency,Valid From,Valid To,Products,Scraped Timestamp
A.Tosh & Sons (India) Ltd Certified,ORG-1908-001905,Coimbatore,sajith@tosh.in,"2/627-4, Sokkanur Road, Coimbatore, Tamil Nadu",NPOP,validfrom 26/09/2023,25/09/2024,"Black Tea, Chamomile (M.chamomile), Flavoured Tea, Green Tea, Herbal tea",2025-03-30T14:36:24.424180
AARAL EXPORTS (AVYA) Certified,ORG-2307-001601,Tirupur,sonikakennedy@gmail.Com,"SF. No. 341/B, SUGUNA FOODS PVT LTD ROAD, ANTHIYUR, UDUMALPET, TIRUPUR, Tirupur, Tamil Nadu",NPOP,validfrom 14/07/2023,13/07/2024,"Coconut Desiccated, Coconut oil, extra virgin coconut oil",2025-03-30T14:36:24.424412
Adhitya Agro Product Certified,ORG-2004-000754,Dindigul,plantmgr@sunrisenaturals.in,,NPOP,validfrom 22/09/2023,27/07/2024,"Alphonso Mango Pulp, Aseptic Totapuri Mango Puree Concentrate, Kesar Mango Pulp, Pink Guava Pulp, Totapuri Mango pulp, White Guava Pulp",2025-03-30T14:36:24.424609
"AFA-ECOFARE,ARTISANA TRUST-AUROVILLE FOUNDATION Certified",ORG-1904-000847,Viluppuram,ecofare@auroville.org.in,"Kottakarai, Mantra, Auroville, Viluppuram, Tamil Nadu",NPOP,validfrom 11/09/2023,22/08/2024,"Assam Black Tea, Blended Black Tea, Chai Spice Blend, Darjeeling Black Tea, Darjeeling Green Tea, Green Tea, Masala Chai, Organic Black Tea, Speciality tea-Oolong, White tea",2025-03-30T14:36:24.424804
Ambal Imports and Exports Certified,ORG-1711-001746,Coimbatore,info@virginoil.in,"6C,Zamin Uthukuli,Meenkari Road, Coimbatore, Tamil Nadu",NPOP,validfrom 25/11/2023,24/11/2024,"Coconut, Coconut chips, Coconut Desiccated, Coconut flakes, Coconut milk, Coconut oil, Coconut powder/dried coconut powder, Coconut shred, Coconut Water, extra virgin coconut oil, Tender Coconut",2025-03-30T14:36:24.424999
AMWAY INDIA ENTERPRISES PRIVATE LIMITED Certified,ORG-2305-001063,Dindigul,Vineeth.Raj@Amway.com,"A7, SIPCOT, INDUSTRIAL COMPLEX, VILLAGE PALLAPATTY, Dindigul, Tamil Nadu",NPOP,validfrom 30/06/2023,29/06/2024,"Adhatoda vasica Extract (Vasaka Extract), Andrographis caplets, Ashwagandha caplets, Brahmi vati/B.monnieri tablet, Garcinia caplets, Gymnema Sylvestre tablets, Moringa capsule, Triphala caplets, Tulsi caplets",2025-03-30T14:36:24.425191
ANANDHI TEXSTYLES P LTD Certified,ORG-2310-002571,Namakkal,cotton@anandi.co.in,"50/3B Vadakukadu ,Kottapalayam PO Mallasamudram, Namakkal, Tamil Nadu",NPOP,validfrom 01/12/2023,30/11/2024,Raw Cotton,2025-03-30T14:36:24.425386
ANANDI ENTERPRISES Certified,ORG-1708-001368,Salem,rsbala@anandi.co.in,"Ginning Factory, 71.6A, Ratnavel Garden, Marulayamapalayam, Salem, Tamil Nadu",NPOP,validfrom 05/11/2023,04/09/2024,Raw Cotton,2025-03-30T14:36:24.425577
Anantha Naturals Private Limited Certified,ORG-1804-000659,Coimbatore,office@biobasics.org,"No 14, Balaji Padmavathi Nagar,, Coimbatore, Tamil Nadu",NPOP,validfrom 20/07/2023,08/07/2024,"Ajwain, Ajwain Powder, Almond, Almonds (Shelled), Amaranth seed/ Ram dhana, Amla powder, Apple, Apricots, Asafoetida, Ash Gourd, Bajra flour/ Atta, Barley Flour, Barley Porridge/Dalia, Barley whole, Barley- Dehulled, Basmati rice, Basmati rice-brown, Basmati rice-white, Beans Long, Beaten rice, Beet root, Bengal Gram Whole, Bengal Gram(Chana)Flour, Bitter Gourd, Black cumin, black gram split white, black gram white whole, Black gram/Urd (Vigna sp.), Black Pepper, Black Pepper Powder, Black Sesame/Sesamum, Bottle Gourd, Brinjal Purple Round, Broccoli, Broken rice, Brown gram/Gram/Chana (Cicer arietinum), Brown Rice, Buckwheat (other than seed), Buckwheat Flour, Butter Fruit, Byadagi chilli, Cabbage, Cardamom, Cardamom Powder, Carrot, cashew kernels (w240), Cashew Whole, Cashew-Split, Castor Oil, Cauliflower, Celery, chana Dal, Chia, Chickpea/Kabuli Chana (garbanzos), Chilli powder, Chitra Kidney beans/Rajma (Phaseolus vulgaris), Cinnamon, Cinnamon (Powder), Clove powder, Cloves, Coconut oil, Coriander Powder, Coriander seed/whole, Cowpea/Lobia whole(V.unguiculata/sinensis), Cucumber, Cumin Powder, Cumin whole, Custard apple Fresh (Ata)/Annona squamosa L., Dill, Dried Cardamom, Drumstick, Fennel Seed, Fenugreek Powder (Methi Powder), Fenugreek Seed (Methi Seed), Flax Seed, Foxtail Millet, Garcinia/Cambodge/Uppage, Garlic Powder, Ginger Fresh, Ginger Powder, Ginger sliced (dried), Gram Flour/Besan, Green Chilly, Green Gram Whole (Moong Sabut), Green peas, Groundnut/Peanut, Groundnut/Peanut Oil (Crude), Guavas fresh, Guntur Chilli, Horse gram whole, Idly rava, Jaggery, Jaggery cube, Jaggery lump, Jaggery powder, Jowar, Jowar flour, Kabuli Chana, Kalonji/nigella, Kodo/Kodon Millet, Lemon Fresh, Lentil, Lettuce, Little millet, Maize (Corn), Maize/Corn flour, Mango (fresh), Mango dried, Mango Powder/ Aamchur, Masoor (Lens Culinaris), Masoor Dal, Matki/Moth Bean, Methi leaf/fenugreek leave, Millet Flour, Mint/Mentha leaves, Moong Dal, Moong Dal-Split with shell, Moringa Powder, moth dal, Multi grain Atta, Mustard, Mustard - Black, Mustard Oil (crude), Mustard Oil (Refined), Non-Basmati Rice, Nutmeg mace (dried), Nutmeg Powder, Nutmeg Whole, Okra/Bhindi, Olive oil, Onion, Orange, Papaya (C.papaya), Paprika red (Capsicum annuum), Paprika/capsicum green (Capsicum annuum), Pea- Dried, Pearl Millet/Bajra, Poha / Chivda, Poha Flattened Rice, Potato, Potatoes (Sweet), Proso millet, Puffed Rice brown, Pumpkins (Fresh), Quinoa, Radish (White), Ragi (Finger Millet- other than seed), Ragi Flour, Ragi/Finger Millet grain, Raisins/Kismis, Red Chilli (whole), Red Chilli Powder, Red Flattened Rice, Red Kidney beans/Rajma (Phaseolus vulgaris), Red Rice, Rice Flour, Rice-Sona Masuri, Ridge gourd/Luffa, Roasted bengalgram dal, Roasted Gram/ chana, Safflower Seed Oil (Kardi Seed Oil), Saffron (stigma), Sapota fresh (chico), Sesame Oil/Gingelly Oil, Sesame/Sesamum, Sorghum, Sorghum Flour, Soyabean/Soybean Flour, Soyabean/Soybean White, Soybean, Special Turmeric Powder, Spinach/Palak (Fresh), Split Gram/Chana (Cicer arietinum), Split Green gram/Moong (Vigna sp.), Split Pigeon pea/arhar/Red gram, Sugar (Brown/Natural), Suji/Semolina/ Cream of Wheat, Sunflower oil: edible grade, Sunflower Seed Oil, Sweet corn, Tamarind/Imli (T.indica), Tomatoes (Fresh), Tur/ Toor Dal, Turmeric Dried, Turmeric Powder, Turmeric slice dried, Unpolished rice, Urad Dal-Spilt with Shell, Urad Dal-Split without Shell, Urad dal-Whole(White), Urad dal/Split Black gram, Urad dhuli, Virgin coconut oil, walnut, Walnut kernels, Watermelon, Wheat, Wheat flour, White Pepper, White pepper crushed, White Pepper powder, Yellow mustard",2025-03-30T14:36:24.425785
Ancient Greenfields Private Limited Unit-1 Certified,ORG-1409-001459,Coimbatore,"info@agfindia.com, purchase@agfindia.com","# 4/159 - A2, Vadavalli to Kanuvai Road, Kalappanaickenpalayam, Coimbatore, Tamil Nadu",NPOP,validfrom 17/02/2024,24/11/2024,"Ajwain, Ajwain Powder, Aloe Vera Powder, AMALAKI capsule, Amaranth seed/ Ram dhana, Amla dried deseeded, Amla extact capsule, Amla powder, Amla TBC, Ananthamool Powder/Sariva Powder(Hemidesimus In.po, Anise/Aniseed, Annatto Powder, Aonla/Amla Extract, Arabica Coffee Powder, Arjun powder (Terminalia arjuna), Arrowroot powder, Ashwagandha Capsule, Ashwagandha root, Ashwagandha Root Powder, Ashwagandha TBC, Asparagus racemosus (Shatawar), Bacopa monnieri (Neera Brahmi), Barley Grass Powder, Barley whole, Barleygrass, Basmati rice, Basmati rice-white, Beet Root powder, Bhringraj TBC, Black cumin, Black Pepper Powder, Black pepper TBC, Black Sesame/Sesamum-seed quality, Black Tea, Brahmi Powder, Brahmi/Gotu Kola Capsule, Broken rice, Brown Rice, Buckwheat Flour, Cane jaggery, Capsule Bacopa monnieri/brahmi, Cardamom Powder, Cardamom TBC, Castor Oil, Celery Powder, Chamomile (M.chamomile), Chamomile Tea, Chia, Chicory roots, Chilli dried, Chilli powder, Chilli whole (dry), Cinnamon, Cinnamon (Powder), Cinnamon bark, Cinnamon capsule, Cinnamon TBC, Clove powder, Clove whole, Cocoa beans, Cocoa powder (without sugar/sweetening matter), Coconut (Dried), Coconut (Fresh), Coconut Desiccated, Coconut powder/dried coconut powder, Coffee beans, Coffee beans-Arabica, Coffee beans-Robusta, Coriander Leaf Dehydrated, Coriander Powder, Coriander seed/whole, Coriander TBC, Cumin (Black -seed quality), Cumin oil, Cumin Powder, Cumin Seed Oil, Curcuma capsule, Curcuma longa extract, Curry leaf/leaves, Dehydrated Bitter Gourd, Dehydrated Onion, Digestive tea, Dried Papaya Slices, Drum Stick leaves, Dry rose petals-Pink, Dry rose petals-Red, Eclipta alba (Bhrigjraj/Bhringraj), Fennel tea bag cut, Fennel/saunf, Fenugreek, Fenugreek Powder (Methi Powder), Fenugreek Seed (Methi Seed), Fenugreek TBC, Flax Seed, Flax Seed oil, Flax seed powder, Flax Seeds (Grounded), Galangal Powder, Galangal roots, Garcinia/Cambodge/Uppage, Garlic Powder, Giloy Powder, Ginger Powder, Ginger sliced (dried), Ginger TBC, Ginger whole (dried)-unbleached, Glycrrhiza Glabra (Root), Glyzerizha glabra (Licorice), Gokshur Capsule (Tribulus terrestris), Gokshura Fruit (Tribulus terrestris), Gokshura TBC, Gotukola Powder, Gotukola TBC-Centella asiatica-, Green Gram Whole (Moong Sabut), Green pepper (dehydrated), Green Tea, Green tea powder, Groundnut/Peanut, Guduchi (Tinospora Cordifolons), Gymnema powder, Herbal Tablet, Hibiscus Dried Flower, Hibiscus petal/tea bag cut, Hibiscus rosasinensis powder, Indian Organic Brown Basmati Rice, Indian sarsaparilla, Jaggery, Jaggery powder, Jamun Seed powder, Kalmegh powder (Andrographis paniculata), Kalonji/nigella, Karela/Bittergourd Powder, Kasuri methi, Krishna Tulsi TBC-Ocimum basilicum, Lemon Grass, Lemon peel dried, Lemon Powder, Lentil, Mace Powder, Mango (sliced dried), Manjistha/Rubia cordifolia Powder, Millet, Millet Flour, Mint including leaves, Mint Powder, Mint/Mentha leaves, Moringa Powder, Moringa Tea, Moringa Cake powder, Moringa capsule, Moringa dried leaves, Moringa Fruit powder, Moringa Ginger Tea, Moringa Green Tea, Moringa leaves, Moringa Lemon Tea, Moringa Oil, Moringa oleifera Leaf powder, Moringa Peppermint Tea, Moringa seed, Mucuna pruriens Powder, Mulethi (Glycorrhiza glabra), Murraya Koenigii (Curry Leaves), Mustard - Black, Mustard Oil (Refined), Mustard Seeds, Neem Capsule, Neem leaf powder, Neem leaves, Neem Seed Oil, Nutmeg (Shelled), Orange dry peel, Orange peel powder/extract, ORGANIC BROWN TRADITIONAL BASMATI RICE, Paprika (Capsicum annuum), Peanut Raw, Pepper Extract, Peppermint leaf/ tea bag cut, Pomegranate seed powder, Psyllium husk (isobgul), Psyllium husk powder, Psyllium seed (isobgul), Psyllium seed powder, Pumpkin Seeds, quinoa, Quinoa, Rama Tulsi TBC-Ocimum sanctum, Red Pepper/Mirchi/Chilli (dried), Relaxing evening Tea, Rose Petal TBC, Rose petals powder, Rose Petals T-Cut, Senna Leaves Powder, Senna Leaves Tea Bag Cut (TBC), Senna pods, Senna Pods Powder, Sesame Oil/Gingelly Oil, Sesame seeds, Shatavari Capsule, Shatavari powder, Shatavari Root, Skin Glow On Capsule, Slim On Capsule, Sorghum, Sorghum Flour, Sorghum Grain, Soyabean/Soybean Flour, Spearmint whole leaves, Spinach dehydrated, Stevia/Stevia rebaudiana powder, Sugar, Sugar (Brown/Natural), Sunflower oil: edible grade, Tapioca, Tapioca (pearls), Tea, Terminalia arjuna, Terminalia bellirica powder, Terminalia chebula Powder, Tomato Powder (Lycopersicon esculentum), Tribulus terrestris extract, Tribulus terrestris powder, Triphala Capsule, Triphala Powder, Tulsi Detox, Tulsi leaves dry, Tulsi leaves powder, Tulsi TBC/Tulsi TBC Blend, Turmeric Capsule, Turmeric Powder, Turmeric slice dried, Turmeric whole-dried, Vana tulsi TBC-Ocimum gratissimum, Vanilla Powder, Vanilla TBC, Virgin coconut oil, WEIGHT BALANCE capsule, Wheat, Wheatgrass, Wheatgrass powder, White Pepper powder, Withania Somnifera extract",2025-03-30T14:36:24.426002
