Company Name,Certification ID,Location,Email,Address,Certifying Agency,Valid From,Valid To,Products,Scraped Timestamp
360 Life Organic Foods Private Limited Certified,ORG-2210-003912,Hyderabad,360lifeorganic2019@gmail.com,"8-3-231/F/22/23, Sri krishna nagar, circle No 19,, Hyderabad, Telangana",NPOP,validfrom 23/04/2024,22/03/2025,"Ajwain, Almond, Arhar dal (Red gram/Pigeon pea), Bajra flour/ Atta, Barley- Dehulled, Basmati rice-brown, Basmati rice-white, Beaten rice, Bengal Gram Whole, Bengal Gram(Chana)Flour, black gram split white, black gram white whole, Black Pepper, Black sesame, Cardamom, Cashew Whole, chana Dal, Chia, Chitra Kidney beans/Rajma (Phaseolus vulgaris), Cinnamon, Cloves, Coconut oil, Coriander, Coriander Powder, Cowpea, CTC Tea, Cumin Powder, Cumin seed, Fennel Seed, Fenugreek Powder (Methi Powder), Fenugreek Seed (Methi Seed), Finger millet flour, Flax Seed, Foxtail Millet, Garam Masala, Green gram split yellow/Moong dal-yellow, Green Gram Whole (Moong Sabut), Groundnut/Peanut, Groundnut/Peanut oil (Edible grade), Idli boiled white rice, Idli Flour/powder, Jaggery cube, Jaggery powder, Kabuli Chana, Kodo/Kodon Millet, Little millet, Maize (Corn) Flake, Mango Powder/ Aamchur, Masoor Dal, Moong Dal, Multi grain Atta, Mustard, Mustard oil (aroma/E. Oil), Oats (Flakes), Pearl Millet/Bajra, Poha Flattened Rice, Puffed Rice Chivda, Pumpkin Seeds, Quinoa, Ragi (Finger Millet- other than seed), Raisins/Kismis, Red Chilli (whole), Red Chilli Powder, Red Kidney beans/Rajma (Phaseolus vulgaris), Red Rice, Rice Flour, Rice Puffed, Rice Sonam White, Rice Sonamasuri Brown, Rice-Sona Masuri, Roasted Gram/ chana, Safflower Seed Oil (Kardi Seed Oil), Sawan/Barnyard Millet, Sesame Seed - Oil, Sorghum, Sorghum Flour, Split Green gram/Moong (Vigna sp.), Sugar (Brown/Natural), Suji/Semolina/ Cream of Wheat, Sunflower oil: edible grade, Sunflower seeds: Of seed quality, Turmeric Powder, Urad dal-Whole(White), Urad dal/Split Black gram, Water Melon Seeds, Wheat, Wheat Flakes, Wheat flour, Wheat Pasta, White Cane Sugar, White Sesame/Sesame",2025-03-30T14:36:48.168691
360LIFE ORGANIC FOODS PRIVATE LIMITED Certified,ORG-2212-004187,Hyderabad,shiva360life@gmail.com,"DOOR NO. 8-2-248/P/A/1/2, ROAD NO.3, BANJARA HILLS M, NAGARJUNA CIRCLE,, Hyderabad, Telangana",NPOP,validfrom 23/04/2024,22/03/2025,"Ajwain, Almond, Bajra flour/ Atta, Barley- Dehulled, Basmati rice-brown, Basmati rice-white, Bengal Gram Whole, Bengal Gram(Chana)Flour, black gram split white, Black gram white, Black Pepper, Cardamom, Cashew Whole, chana Dal, Chia, Chitra Kidney beans/Rajma (Phaseolus vulgaris), Cinnamon, Cloves, Coconut oil, Coriander, Coriander Powder, Cowpea/Lobia whole(V.unguiculata/sinensis), CTC Tea, Fennel Seed, Fenugreek, Fenugreek Powder (Methi Powder), Finger millet flour, Flax Seed, Foxtail Millet, Garam Masala, Green gram split yellow/Moong dal-yellow, Green Gram Whole (Moong Sabut), Groundnut/Peanut, Groundnut/Peanut oil (Edible grade), Idli boiled white rice, Idly rava, Jaggery, Jaggery powder, Kabuli Chana, Kodo/Kodon Millet, Little millet, Maize (Corn) Flake, Mango Powder/ Aamchur, Masoor Dal, Moong Dal, Multi grain Atta, Mustard oil (aroma/E. Oil), Mustard small, Oats (Flakes), Pearl Millet/Bajra, Pumpkin Seeds, Quinoa, Ragi/Finger Millet grain, Raisins/Kismis, Red Chilli (whole), Red Chilli Powder, Red Kidney beans/Rajma (Phaseolus vulgaris), Red Rice, Rice Flour, Rice Puffed, Rice Sonamasuri Brown, Rice-Sona Masuri, Safflower Seed Oil (Kardi Seed Oil), Sawan/Barnyard Millet, Sorghum, Sorghum Flour, Split Gram/Chana (Cicer arietinum), Split Green gram/Moong (Vigna sp.), Split Pigeon pea/arhar/Red gram, Sugar, Sugar (Brown/Natural), Sunflower oil: edible grade, Sunflower seeds: Of seed quality, Urad dal-Whole(White), Urad dal/Split Black gram, Watermelon, Wheat, Wheat Flakes, Wheat flour, Wheat Pasta, Wheat Porridge/Dalia",2025-03-30T14:36:48.169010
Aadhya Organic Herbs Private Limited Certified,ORG-2301-000085,JOGULAMBA,info@aadhyaorganic.com,"National Highway-44, S.No 409/A/1/2/2 , 409/A1/2/1/2,National Highway-44, Village - Undavelli, JOGULAMBA, Telangana",NPOP,validfrom 02/02/2024,01/02/2025,"Alfalfa powder, Amla dried, Amla powder, Amla TBC, Ananthamool Root (Hemidesimus indica) - Oleoresin, Aonla/Amla Extract, Arrow Root, Arrowroot powder, Ashwagandha, Ashwagandha Extract, Ashwagandha Powder, Ashwagandha root, Ashwagandha Root Powder, Ashwagandha TBC, Bacopa Extract, Bacopa monnieri (Neera Brahmi), Barley Grass Powder, Barleygrass, Basil extract, Basil/Tulsi, Beet root, Beet Root powder, Berberis aristata extract/ Daruhaldi, Berberis Aristata(Daru Haldi), Black Pepper, Black Pepper Extract, Black Pepper Powder, Black pepper TBC, Boswella serrata, Brahmi/Bacopa monnieri Powder, Cardamom, Cassia, Cassia Fistula powder, Castor Oil, Castor seeds, Celery Powder, Centella asciatica Extract, Centella asciatica Powder, Centella asiatica, Chia, Chilli crushed, Cinnamon (Powder), Cinnamon - Extract, Cinnamon bark, Curry Leaf powder, Curry leaf/leaves, Fenugreek, Fenugreek extract, Fenugreek Powder (Methi Powder), Garlic extract, Giloy Powder, Ginger ExtractZingiber officinalis/, Ginger Fresh, Ginger Powder, Ginger sliced (dried), Ginger TBC, Ginger whole (dried), Gokshura Fruit (Tribulus terrestris), Gokshura powder-tribulus terrestris, Green Cardamom, Green tea extract, Guavas Dried, Guduchi (Cocculus cordifolous), Gymnema Sylvestre (Leaves), Haritaki powder, Haritaki/Harad(Terminalia chebula), Kalmegh(Andrographis penniculata), Kalmegh(Andrographis penniculata)- extract, Kalonji/nigella, Karela/Bitter gourd fruit dried slices, Lemon Peel extract, Liquorice roots, Manjistha/Rubia cordifolia - Extract, Moringa Powder, Moringa dried leaves, Moringa oleifera leaves extract, Moringa seed, Moringa seed oil, Murraya koenigii Extract, Neem leaf extract, Neem leaves powder, Nutmeg (Shelled), Phyllanthus niruri, Red Chilli (whole), Red Chilli Powder, Senna extract, Senna Leaves Tea Bag Cut (TBC), Sesame seeds, Shatavari powder, Shatavari Root, Stevia, Stevia leaves-dried, Stevia/Stevia rebaudiana powder, Terminalia arjuna, Terminalia arjuna Extract, Terminalia bellirica powder, Terminalia bellirica/baheda, Terminalia chebula extract, Terminlia bellirica Extract, Tinospora cordifolia (Guruchi), Triphala, Triphala - Extract/powder, Triphala Powder, Tulsi leaves dry, Tulsi Powder, Tulsi TBC/Tulsi TBC Blend, Turmeric Dried, Turmeric extract, Turmeric fingers, Turmeric Fresh, Turmeric Powder, Turmeric TBC, Wheatgrass, Wheatgrass powder",2025-03-30T14:36:48.169313
Aadhya Organic Herbs Private Limited Certified,ORG-2306-001353,JOGULAMBA,admin@aadhyaorganic.com,"National Highway-44 S.No 409/A1/2/1/2, 409/A/1/2/2,Jogulamba ,Gadwal,, JOGULAMBA, Telangana",NPOP,validfrom 10/07/2023,09/07/2024,"Alfalfa, Amla dried, Amla powder, Amla TBC, Anantmool (Hemidesmus indicus), Arjun powder (Terminalia arjuna), Arrow Root, Arrow root powder, Ashwagandha, Ashwagandha root, Ashwagandha Root Powder, Ashwagandha TBC, Bacopa monnieri (Neera Brahmi), Barley Grass Powder, Basil/Tulsi, Beet root, Beet Root powder, Bitter Gourd, Black Pepper, Black pepper crushed, Black Pepper Powder, Black pepper TBC, Boswella serrata, Brahmi/Bacopa monnieri Powder, Broccoli, Carrot, Cassia, Cassia Fistula powder, Castor seeds, Centella asciatica Powder, Centella asiatica, Chia, Chilli crushed, Cinnamon bark, Cinnamon bark powder, Cinnamon dried, Cinnamon TBC, Curry Leaf powder, Curry leaf/leaves, Dried Curry leaves, Dried garlic, Drum Stick, Fennel Seed, Fenugreek, Fenugreek Powder (Methi Powder), Ginger Fresh, Ginger Powder, Ginger TBC, Ginger whole (dried), Gokshura Fruit (Tribulus terrestris), Gokshura powder-tribulus terrestris, Groundnut/Peanut, Guavas Dried, Gymnema powder, Gymnema Sylvestre (Leaves), Haritaki powder, Haritaki/Harad(Terminalia chebula), Kalmegh powder (Andrographis paniculata), Kalmegh(Andrographis penniculata), Kalonji/nigella, Lemon Grass, Lemon grass TBC, Liquorice powder, Liquorice roots, Liquorice TBC, Moringa Powder, Moringa (M.oleifera), Moringa dried leaves, Neem leaves, Neem leaves powder, Palmarosa grasses/ Palmarosa, Red Chilli (whole), Shatavari powder, Shatavari Root, Spinach/Palak (Fresh), Stevia, Stevia leaves-dried, Stevia/Stevia rebaudiana powder, Terminalia bellirica powder, Terminalia bellirica/baheda, Terminalia chebula Powder, Tinospora cordifolia (Guruchi), Tinospora cordifolia Powder, Triphala, Triphala Powder, Tulsi leaves dry, Tulsi leaves powder, Tulsi TBC/Tulsi TBC Blend, Turmeric fingers, Turmeric Fresh, Turmeric Powder, Turmeric TBC, Turmeric whole-dried, Wheatgrass, Wheatgrass powder",2025-03-30T14:36:48.169599
AIPRIME FOOD INGREDIENTS PRIVATE LIMITED Certified,ORG-2305-001070,Hyderabad,aditahsi@hotmail.com,"112, 1st Floor, 5-9-13, Taramandal Complex, Hyderabad, Telangana",NPOP,validfrom 23/06/2023,22/06/2024,"Amla, Annato oil, Annatto, Aonla/Amla Extract, Arrow Root, Arrowroot powder, Ashwagandha, Ashwagandha Extract, Castor (other than seed quality), Castor Oil, Castor Oil (Edible grade), Castor seeds, Citronella, Citronella oil, Cocoa beans, Cocoa butter, Coconut, Coconut (Dried), Coconut oil, Coconut oil (Crude), Coconut powder/dried coconut powder, Glucose Liquid, Glycerine, Groundnut/Peanut, Groundnut/Peanut Oil (Crude), Groundnut/Peanut oil (Edible grade), Lauric Acid, Lecithin, Lemon Grass, Lemon grass oil, Maize (Corn), Maize starch, Manioc (cassava) (Flour), Marigold meal, Marigold/Tagetes oil, Mustard, Mustard Oil (crude), Mustard Oil (Refined), Mustard Seeds, mustard Seeds-Yellow, Neem oil, Neem seed, Nutmeg oil, Nutmeg Whole, Other, Other, Palm kernels (Other than seed quality), Palm Oil (Crude), Palm oil (Refined bleached deodorised), Palmarosa grasses/ Palmarosa, Palmarosa Oil, Palmolein (Refined bleached deodorised), Patchouli leaves, Patchouli oil, Peppermint, Peppermint Oil (Mentha piperita), Rapeseed Oil, Rapeseed/Rai/Rye, Refined rapeseed oil of edible, Rice bran, Rice Bran Oil, Rice bran Oil (Edible Grade), Rosemary, Rosemary Extract, Rosemary Oil, Spearmint oil, Sunflower, Sunflower oil: edible grade, Sunflower Seed Oil, Sunflower seeds: Of seed quality, Tapioca, Vetiver Oil, Vetiver roots",2025-03-30T14:36:48.169856
AIPRIME NUTRITIONS PRIVATE LIMITED Certified,ORG-1808-001471,Hyderabad,adit@agarwalindia.com,"114 1st Floor Taramandal Complex 5-9-13, Hyderabad, Telangana",NPOP,validfrom 29/08/2023,29/08/2024,"Amla dried, Annatto, Annatto extract, Aonla/Amla Extract, Basil/Tulsi, Basil/Tulsi Oil, Black Mustard Seed, Brown mustard, Castor (other than seed quality), Castor Oil, Castor seeds, Cinnamon, Cinnamon (Powder), Cinnamon bark, Cinnamon leaf oil, Cinnamon oil, Cinnamon Tamala (Leaves), Citronella, Citronella oil, Clove leaf oil, Clove oil, Cloves, Coconut, Coconut (Dried), Coconut oil, Coconut oil (Crude), Coconut powder/dried coconut powder, Eucalyptus leaves, Eucalyptus oil, Flax Seed oil, Flax/Linseed Oil, Garlic, Garlic Oil, Glycerine, Groundnut/Peanut, Groundnut/Peanut Oil (Crude), Groundnut/Peanut oil (Edible grade), Lecithin, Lemon Grass, Lemon grass oil, Maize starch, Mustard, Mustard - Black, Mustard Meal, Mustard oil (aroma/E. Oil), Mustard Oil (Refined), Mustard Seeds, mustard Seeds-Yellow, Neem oil, Neem seed, Nutmeg oil, Nutmeg Whole, Palm Oil (Crude), Palmarosa grasses/ Palmarosa, Palmarosa oil, Patchouli, Patchouli leaves, Patchouli oil, Peppermint leaves, Peppermint Oil (Mentha piperita), Pongamia pinnata oil, Rapeseed Oil, Rapeseed/Rai/Rye, Refined rapeseed oil of edible, Rice bran, Rice Bran Oil, Rice bran Oil (Edible Grade), Rosemary, Rosemary Extract, Rosemary Oil, Safflower Seed Oil (Kardi Seed Oil), Safflower seeds: Of seed quality, Spearmint oil, Sunflower, Sunflower Meal, Sunflower oil: edible grade, Sunflower Seed Oil, Sunflower seeds: Of seed quality, Vetiver Oil, Vetiver roots, Virgin coconut oil, Yellow mustard",2025-03-30T14:36:48.170110
Ancient Living Products Products Pvt.Ltd Certified,ORG-2010-002619,Hyderabad,kalyanigongi@gmail.com,"Plot No. 66 A Phase IV, Hyderabad, Telangana",NPOP,validfrom 05/12/2023,20/10/2024,"Almond, Almond oil, Aloe Vera, Amla, Ashwagandha, Azadirachta indica (Neem), Basil oil ( Ocimum basillicum), Black pepper oil, Brahmi/Bacopa monnieri Powder, Cardamom Oil, Carrot, Chickpea/Kabuli Chana (garbanzos), Citronella oil, Clove bud oil, Coconut oil, Coriander, Eucalyptus oil, Geranium oil, Ginger oil, Haritaki/Harad(Terminalia chebula), Henna (Lawsonia inermis/alba), Hibiscus, Indigo Powder, Jatamansi (Nardostachys jatamansi), Lemon oil, Lemon peel dried, Lemongrass oil, Manjeet (Rubia cordifolia), Masoor Dal, Neem oil, Nutmeg oil, Oats (seed/grains), Orange, Palmarosa oil, Papaya (C.papaya), Patchouli oil, Peppermint Oil (Mentha piperita), Rosemary Oil, Saffron, Sesame seeds, Shikakai powder, Soyabean/Soybean White, Triphala Powder, Tulsi Powder, Vetiver Oil",2025-03-30T14:36:48.170353
Annadata Paddy Boiling Industry Certified,ORG-2208-002714,Rangareddi,dayakar.parupalli@gmail.com,"SY.No.635 to 637, Pedda Amberpet, Hayathnagar,, Rangareddi, Telangana",NPOP,validfrom 16/09/2023,15/09/2024,"Basmati rice-brown, Basmati rice-white, Broken rice, Groundnut/Peanut, Groundnut/Peanut oil (Edible grade), Mustard cake, Mustard oil (aroma/E. Oil), Non-Basmati Rice, Oil-cake and oil-cake meal of groundnut /Peanutexpeller variety, Poha Flattened Rice, Red Flattened Rice, Red Rice, Rice Puffed, Rice Sonamasuri Brown, Rice Sonamasuri Hand pound, Rice-Sona Masuri, Safflower Seed Oil (Kardi Seed Oil), Safflower seeds: Of seed quality, Sesame Oil/Gingelly Oil, Sesame seeds: Oil cake, Soyabean/Soybean Oil-cake(expeller variety), Soybean/soyabean oil, Sunflower oil: edible grade, sunflower seeds: Oil-cake",2025-03-30T14:36:48.170594
ARAKU ORIGINALS LIMITED Certified,ORG-1102-000085,Hyderabad,manoj@naandi.org,"502, Trendset Towers, Road No. 2, Hyderabad, Telangana",NPOP,validfrom 03/09/2023,02/09/2024,"Arabica-Robusta Roasted Coffee Beans, Black Pepper, Black pepper (garbled), Chitra Kidney beans/Rajma (Phaseolus vulgaris), Coffee clean, Custard apple Fresh (Ata)/Annona squamosa L., Ginger Fresh, Green Coffee, Honge-Pongamia pinnata, Jamun/Neralae(Syzygium cuminii), Kinnow/Mandarin Orange Fresh, Lime Fresh, Little millet, Mango (fresh), Ragi (Finger Millet- other than seed), Roasted Coffee Powder, Tamarind dry (Imli), Turmeric Dried, White Pepper",2025-03-30T14:36:48.170832
BOTANIC HEALTHCARE PVT LTD. Certified,ORG-2302-000262,Yadadri Bhuvanagiri,kinni@botanichealthcare.net,"2-139/1,TALLASINGARAM VILLAGE,CHOUTUPPAL MANDAL,CHOUTUPPAL, Yadadri Bhuvanagiri, Telangana",NPOP,validfrom 23/02/2024,22/02/2025,"Acacia arabica powder, Acacia catechu Extract, Acacia catechu Powder, Achyranthes aspera Extract, Acorus calamus Extract, Adhatoda vasica (Vasaka/kali basuti), Adhatoda vasica Extract (Vasaka Extract), Adhatoda vasica Powder (Vasaka Powder), Aegle marmelos Extract, Ajwain, Ajwain Powder, Ajwain Seed Oil, Alfalfa extract, Alfalfa powder, Almond oil, Aloe vera extract, Aloe Vera leaves, Aloe Vera leaves powder, Amaranth Flour, Amaranth Seed Extract, Amaranth seed/ Ram dhana, Amla Juice, Amla oil, Amla powder, Ananthamool Powder/Sariva Powder(Hemidesimus In.po, Anise oil (aniseed oil), Annatto extract, Aonla/Amla Extract, Arjun powder (Terminalia arjuna), Ashok (Saraca indica) - Extract, Ashoka powder, Ashwagandha Extract, Ashwagandha root, Ashwagandha Root Extract, Ashwagandha Root Powder, Asparagus racemosus Extract, Asparagus racemosus Powder, Azadirachta indica (Neem), Azadirachta indica-leaves-dry extract, Bai Vidang (Embelia ribes), Bamboo extract, Bamboo powder, Banana powder, Barley Grass Powder, Basil (Ocimum Sanctum), Basil oil (Ocimum sanctum), Basil/Tulsi Oil, Bay leaf powder, Bay Leaf - Extract, Bay leaf oil, Beet root, Beet Root powder, Berberis aristata extract/ Daruhaldi, Berberis Aristata(Daru Haldi), bitter Gourd Extract, Black Cumin Powder, Black Pepper, Black Pepper Extract, Black pepper oil, Black Pepper Powder, Boerhaavia diffusa Extract, Boswella serrata, Boswella serrata Extract, Boswella serrata Powder, Brahmi extracts/Bacopa monnieri, Brahmi/Bacopa monnieri, Brahmi/Bacopa monnieri Powder, cardamom extract, Cardamom Large (Black), Cardamom Oil, Cardamom Powder, Carrot, Carrot Dehydrated, Cassia fistula Extract, Cassia oil, Celastrus paniculatus Extract, Celastrus paniculatus Powder, Celery Powder, Centella asciatica Extract, Centella asciatica Powder, Centella asiatica, Centella asiatica-whole plant-powder, Chamomile powder, Chia, Chicory (cichorium intybus) extract, Chicory Root Powder, Cinnamon - Extract, Cinnamon bark, Cinnamon bark extract, Cinnamon bark powder, Cinnamon dried, Cinnamon oil, Cissus quadrangularis extract (Hadjod), Cissus quadrangularis powder, Citronella oil, Citrus Medica extract, Citrus peels, Clove bud oil, Clove oil, Coconut Desiccated, Coconut oil, Coconut powder/dried coconut powder, Coleus Forskohlii extract, Coleus root powder, Commiphora mukul Extract, Coriander, Coriander Powder, Coriander seed oil, Cumin Extract, Cumin Powder, Cumin whole, Curry Leaf powder, Curry leaf/leaves, Daruharidra (Berberis aristata) Powder, Davana oil, Dehydrated Ginger Powder, Dill oil (Sowa Oil), Eclipta alba Extract/ bhringraj, Eclipta alba Powder, Embelia ribes (false pepper) extract, Emblica Officinalis (wild Amla), Emblica officinalis Extract, Eucalyptus citridora oil, Eucalyptus globulus oil, Fennel Extract, Fennel Powder, Fennel seed oil, Fenugreek extract, Fenugreek Powder (Methi Powder), Fenugreek Seed (Methi Seed), Fiber Harmony-Whole Husk Psyllium, Flax Seed, Flax seed powder, Frankincense oil, Freeze dried amla powder, Freeze Dried Banana, Freeze Dried Ginger, Freeze/dried/Jackfruit/dehydrated, Galangal Powder, Garcinia cambogia powder, Garcinia cambogia-fruit-dry extract, Garlic extract, Garlic Oil, Garlic Powder, Ginger ExtractZingiber officinalis/, Ginger oil, Ginger Oleoresins/ Gingerols, Ginger paste, Ginger Powder, Glycerine, Glycyrrhiza glabra-root-dry extract, Glycyrrhiza glabra-root-powder, Gotukola-centella asiatica extract, Green Cardamom, Green Cardamom Powder, Green Coffee Extract, Green tea extract., Green tea powder, Guar gum powder, Guava extracts (Psidium Gauva), Guavas Dried, Guduchi (Cocculus cordifolous), Guduchi (Tinospora Cordifolons), Gymnema powder, Gymnema sylvestre, Gymnema sylvestre extract, Haritaki/Harad(Terminalia chebula), Hibiscus, Hibiscus rosasinensis extract, Hibiscus rosasinensis powder, Holy basil, Holy basil extract, Inula racemosa extract, Inula Racemosa powder, Jamun/Neralae(Syzygium cuminii), Kalmegh powder (Andrographis paniculata), Kalmegh(Andrographis penniculata)- extract, Karela Extract ( Momordica Charantia ), Karela fruit, Kutki (Picrorhiza kurroa), Kutki Extract(Picrorhiza kurroa), Lavender Extract, Lavender powder, Lemon grass oil(Cymbopogon citrates), Lemon oil, Lemon peel dried, Lemon Peel extract, lemon peel powder, Lemon Peel TBC, Lemongrass powder, Longa Piper extract, Lotus flowers dried, LOTUS POWDER, Manjistha/Rubia cordifolia, Manjistha/Rubia cordifolia - Extract, Manjistha/Rubia cordifolia Powder, Matricaria chamomile extract, Mentha Citrata Oil, Mentha piperata oil (Mentha piperita), Mentha/mint arvensis oil (M.arvensis), Mint Leaves Dehydrated, Mint Powder, Moringa dried leaves, Moringa oleifera Leaf powder, Moringa oleifera leaves extract, Moringa seed oil, Morus alba Extract, Morus alba Powder, Mucuna pruriens (Mucuna), Mucuna pruriens Extract, Murraya koenigii Extract, Murraya koenigii Powder, Mustard, Mustard Extract, Mustard Oil (crude), Mustard seed powder, Neem extract, Neem leaves, Neem leaves powder, Neem oil, Noni (Moringa citrifolia) - Extract, Noni Fruit Powder, Nutmeg Powder, Ocimum basilicum (Krishna/Vana Tulsi), Ocimum sanctum extract, Olive oil, Oregano, Palmarosa Oil, Papaya extract (C.papaya), Papaya leaves (C.papaya), Papaya leaves powder, Paprika Powder (capsicum annum), Patchouli oil, Pepper long/Pippali (Piper longum), Peppermint Oil (Mentha piperita), Phyllanthus niruri Extract, Phyllanthus niruri Powder, Pippali powder-Piper longum, Plumbago zeylanica Extract, Plumbago zeylanica Powder, Pomegranate Dry Peel, Pomegranate extract, Psyllium husk (isobgul), Psyllium husk powder, Psyllium seed (isobgul), Punica granatum ?Powder, Punica granatum Extract, Rose oil, Rosemary Oil, Safed Musli - Extract, Safed Musli powder, Sage oil (Salvia officinalis), Salacia (S.oblonga), Salacia oblonga Powder, Salacia reticulata extract, salacia reticulata Powder, Sapindus mukorossi (Reetha), Sapindus mukorossi Extract, Senna extract, Senna Leaves Powder, Sesame Seed - Extract, Sesamum Oil, Shatavari powder, Shatavari Root, Sida cordifolia Extract, Sida cordifolia Powder, Solanum nigrum Extract/ Kakamachi, Solanum nigrum Powder, Spearmint oil, Stevia leaves-dried, Stevia/Stevia rebaudiana extract, Stevia/Stevia rebaudiana powder, Sweet flag (acorus calamus)oil, Symplocos racemosa powder, Symplocos racemosa(lodhra)extract, Tamarind extract, Tamarind Powder (Imli), Terminalia arjuna, Terminalia arjuna Extract, Terminalia bellirica fruit (bahera), Terminalia bellirica powder, Terminalia chebula extract, Terminlia bellirica Extract, Tinospora cordifolia Extract, Tinospora cordifolia Powder, Tribulus terrestris extract, Tribulus terrestris powder, Trikatu extract, Trikatu powder, Triphala - Extract/powder, Triphala Powder, Tulsi Powder, Turmeric extract, Turmeric fingers, Turmeric Oil, Turmeric Powder, Turmeric TBC, Valerian powder, Valeriana wallichii (tagar) extract, Vana Tulsi (Ocimum gratissimum), Vanilla TBC, Vetiver Extract, Vetiver Oil, Vidanga Powder, Virgin coconut oil, VSF Herbal Blend, VSM Herbal Blend, Wheatgrass powder",2025-03-30T14:36:48.171102
