Company Name,Certification ID,Location,Email,Address,Certifying Agency,Valid From,Valid To,Products
AADHYA ORGANIC HERBS PRIVATE LIMITED Certified,ORG-2403-000509,Kurnool,info@aadhyaorganic.com,"805-2A.Main road, Krishnagiri sub post office, Bapanadoddi village, Kurnool, Andhra Pradesh",NPOP,validfrom 12/03/2024,11/03/2025,"Ajwain, Alfalfa powder, Amla dried, Amla powder, Amla TBC, Ananthamool Root (Hemidesimus indica) - Oleoresin, Aonla/Amla Extract, Arrow Root, Arrow root powder, Ashwagandha, Ashwagandha Extract, Ashwagandha Powder, Ashwagandha root, Ashwagandha Root Powder, Ashwagandha TBC, Bacopa Extract, Bajra flour/ Atta, Barley Grass Powder, Barley whole, Barleygrass, Barnyard Millet Flour, Basil extract, Basil/Tulsi, Basmati rice, Bay Leaf, Beaten rice, Beet root, Beet Root powder, Bengal Gram Whole, Bengal Gram(Chana)Flour, Berberis aristata extract/ Daruhaldi, Berberis Aristata(Daru Haldi), Black cumin, Black Gram Flour, Black gram/Urd (Vigna sp.), Black Pepper, Black Pepper Extract, Black Pepper Powder, Black pepper TBC, Boswella serrata, Boswella serrata Powder, Brahmi/Bacopa monnieri, Brahmi/Bacopa monnieri Powder, Brown Rice, Cardamom, Cassia, Cassia Fistula powder, Castor Oil, Castor seeds, Celery Powder, Centella asciatica Extract, Centella asciatica Powder, Centella asiatica, chana Dal, Chia, Chilli crushed, Cinnamon (Powder), Cinnamon - Extract, Cinnamon bark, Cloves, Coconut oil, Coriander Powder, coriander seed, Cowpea, Curry Leaf powder, Curry leaf/leaves, Fennel Seed, Fenugreek, Fenugreek extract, Fenugreek Powder (Methi Powder), Flax Seed oil, Flax/Linseed, Foxtail Millet, Garlic, Garlic extract, Ginger ExtractZingiber officinalis/, Ginger Fresh, Ginger Powder, Ginger sliced (dried), Ginger TBC, Ginger whole (dried), Gokshura Fruit (Tribulus terrestris), Gokshura powder-tribulus terrestris, Gram Flour/Besan, Green Cardamom, Green Coffee Extract, Green Gram (Moong) Bari, Green Gram Whole (Moong Sabut), Green peas, Green tea extract, Groundnut/Peanut, Groundnut/Peanut Oil (Crude), Guavas Dried, Guduchi (Cocculus cordifolous), Gymnema Sylvestre (Leaves), Haritaki powder, Haritaki/Harad(Terminalia chebula), Jaggery, Jaggery powder, Jowar flour, Jowar Porridge, Kabuli Chana, Kalmegh(Andrographis penniculata), Kalmegh(Andrographis penniculata)- extract, Kalonji/nigella, Karela/Bitter gourd fruit dried slices, Kodo/Kodon Millet, Lemon Peel extract, Lentil dal, Liquorice roots, Little millet, Mace, Maida, Maize Grain, Manjistha/Rubia cordifolia - Extract, Masoor Dal, Matki/Moth Bean, Moringa Powder, Moringa dried leaves, Moringa seed, Moringa seed oil, Murraya koenigii Extract, Mustard flour, Mustard Oil (crude), Neem leaf extract, Neem leaf powder, Neem Seed Oil, Oat flour, Oats (Flakes), Pea- Dried, Pearl Millet/Bajra, Phyllanthus niruri, Pigeon pea, Proso millet, Quinoa, Ragi Flour, Ragi/Finger Millet grain, Red Chilli (whole), Red Chilli Powder, Red Kidney beans/Rajma (Phaseolus vulgaris), Red Lentil, Red Rice, Rice Flakes, Rice Flour, Senna extract, Sesame Seed - Oil, Shatavari powder, Shatavari Root, Star anise, Stevia, Stevia leaves-dried, Stevia/Stevia rebaudiana powder, Sugar, Sunflower Seed Oil, Tamarind/Imli (T.indica), Terminalia arjuna, Terminalia arjuna Extract, Terminalia bellirica powder, Terminalia bellirica/baheda, Terminalia chebula extract, Terminlia bellirica Extract, Tinospora cordifolia (Guruchi), Triphala, Triphala - Extract/powder, Triphala Powder, Tulsi leaves dry, Tulsi Powder, Tulsi TBC/Tulsi TBC Blend, Turmeric Dried, Turmeric extract, Turmeric fingers, Turmeric Fresh, Turmeric Powder, Turmeric TBC, Wheat flour, Wheatgrass, Wheatgrass powder"
AIO Impex Private Limited Certified,ORG-1906-001586,Visakhapatnam,LALIT@ANCIENTINDIAORGANICS.COM,"D.NO.26-41-5, KSA Complex, Chinagantyada, Visakhapatnam, Andhra Pradesh",NPOP,validfrom 13/07/2023,09/07/2024,"Arabica Coffee Powder, Basil/Tulsi, Basmati rice, Black Pepper, Black pepper (garbled), Black pepper (MG1), Black pepper (TGEB), Black pepper (TGSEB), Black pepper (ungarbled), Black Pepper cracked, Black pepper crushed, Black pepper ground/powder- sterilized, Black pepper MG2, Black Pepper Powder, Black pepper TBC, Black Pepper TBC Steam Sterlised, Black pepper whole sterilized, Cardamom, Cardamom Large (Black), Chamomile (M.chamomile), Chickpea/Kabuli Chana (garbanzos), Coconut Desiccated, Coconut milk, Coconut oil, Coconut oil (Crude), Coconut powder/dried coconut powder, Coffee beans-Arabica, Coffee beans-Robusta, Cowpea, extra virgin coconut oil, Garlic flakes, Ginger Flakes, Ginger Powder, Ginger sliced (dried), Ginger TBC, Ginger TBC steam sterlised, Ginger whole (dried), Glyzerizha glabra (Licorice), Pepper long/Pippali (Piper longum), Peppermint leaves, Psyllium husk (isobgul), Psyllium husk powder, Red Chilli (whole), Red Chilli Flakes, Red Chilli Powder, Red Kidney beans/Rajma (Phaseolus vulgaris), Turmeric Dried, Turmeric flakes, Turmeric Powder, Turmeric slice dried, Turmeric TBC, Turmeric whole-dried, Vanilla, Virgin coconut oil, White Pepper, White Pepper Whole Sterilized"
AIPRIME NUTRITIONS PRIVATE LIMITED Certified,ORG-2106-002842,East Godavari,adit@agarwalindia.com,"2-205,1ST FLOOR, VIDYA NAGAR, VALASAPAKALA, East Godavari, Andhra Pradesh",NPOP,validfrom 19/10/2023,25/06/2024,"Arrow Root, Arrow root powder, Basil/Tulsi, Basil/Tulsi Oil, Castor Meal, Castor Oil, Castor Oil (Edible grade), Castor seeds, Cinnamon, Cinnamon (Powder), Cinnamon bark, Cinnamon leaf oil, Cinnamon oil, Cinnamon Tamala (Leaves), Citronella, Citronella oil, Clove leaf oil, Clove oil, Cloves, Coconut oil, Coconut oil (Crude), Coconut powder/dried coconut powder, Crude oil : Other, Flax Seed, Flax/Linseed Oil, Garlic, Garlic Oil, Glycerine, Groundnut meal, Groundnut/Peanut, Groundnut/Peanut Oil (Crude), Groundnut/Peanut oil (Edible grade), Karanji/Pongam (Pongamia), Lauric Acid, Lecithin, Lemon Grass, Lemon grass oil, Maize/Corn Oil, Mustard Meal, Mustard oil (aroma/E. Oil), Mustard Oil (Refined), Mustard Seeds, Neem oil, Neem seed, Nutmeg oil, Nutmeg Whole, Other, Palm Oil (Crude), Palm oil (Refined bleached deodorised), Palmarosa grasses/ Palmarosa, Palmarosa oil, Palmolein (Refined bleached deodorised), Patchouli, Patchouli leaves, Patchouli oil, Peppermint, Peppermint Oil (Mentha piperita), Pongamia pinnata oil, Rapeseed Oil, Rapeseed/Rai/Rye, Refined rapeseed oil of edible, Rice bran, Rice Bran Oil, Rice bran Oil (Edible Grade), Rosemary, Rosemary Oil, Safflower Meal, Safflower Seed Oil (Kardi Seed Oil), Safflower seeds: Of seed quality, Spearmint oil, Sunflower oil: edible grade, Sunflower Seed Oil, Sunflower seeds: Of seed quality, sunflower seeds: Oil-cake, Vetiver Oil, Vetiver roots, Virgin coconut oil"
AIPRIME NUTRITIONS PVT LTD Certified,ORG-2106-002762,East Godavari,adit@agarwalindia.com,"Near Light House, East Godavari, Andhra Pradesh",NPOP,validfrom 14/10/2023,25/06/2024,"Basil/Tulsi Oil, Castor Meal, Castor Oil, Castor Oil (Edible grade), Cinnamon leaf oil, Cinnamon oil, Citronella oil, Clove leaf oil, Clove oil, Coconut oil, Coconut oil (Crude), Coconut powder/dried coconut powder, Crude oil : Other, Flax/Linseed Oil, Garlic Oil, Glycerine, Groundnut meal, Groundnut/Peanut Oil (Crude), Groundnut/Peanut oil (Edible grade), Lauric Acid, Lecithin, Lemon grass oil, Maize/Corn Oil, Mustard Meal, Mustard oil (aroma/E. Oil), Mustard Oil (Refined), Neem oil, Nutmeg oil, Other, Palm Oil (Crude), Palm oil (Refined bleached deodorised), Palmarosa oil, Palmolein (Refined bleached deodorised), Patchouli oil, Peppermint Oil (Mentha piperita), Pongamia pinnata oil, Rapeseed Oil, Refined rapeseed oil of edible, Rice Bran Oil, Rice bran Oil (Edible Grade), Rosemary Oil, Safflower Meal, Safflower Seed Oil (Kardi Seed Oil), Spearmint oil, Sunflower oil: edible grade, Sunflower Seed Oil, sunflower seeds: Oil-cake, Vetiver Oil, Virgin coconut oil"
CCL PRODUCTS (INDIA) LIMITED Certified,ORG-1407-001102,Guntur,"nageswar.k@continental.coffee , srinivas.n@continental.coffee","DUGGIRALA (POST & MANDAL), Guntur, Andhra Pradesh",NPOP,validfrom 28/08/2023,20/08/2024,"Arabica Coffee Powder, Coffee robusta freeze dried, Instant Coffee, Organic?Arabica? Freeze dried coffee"
"Centre for sustainable agriculture, Secunderabad Certified",PGSI/W(TG)-1276,Secunderabad,ramoo@csa-india.org,"12-13-445, street no-1, tarnaka, Secunderabad, Andhra Pradesh",PGS India,validfrom 30/11/-0001,30/01/2020,
CHARANS NATURAL BIOPRODUCTS PRIVATE LIMITED Certified,ORG-2009-001958,Guntur,tasteorganics@gmail.com,"DOOR NO: 3-543, Guntur, Andhra Pradesh",NPOP,validfrom 01/03/2024,30/12/2024,"Almond oil, Amla ???Candy, Amla dried, Amla powder, Bajra (other than seed), Barley Flour, Basmati rice-brown, Basmati rice-white, Brown Mustard Oil, Cardamom, Cardamom Large (Black), Castor Oil, chana Dal, Chana Masala, Chat masala, Chia, Chicken Curry Masala, Chickpea/Kabuli Chana (garbanzos), Chilli powder, Chitra Kidney beans/Rajma (Phaseolus vulgaris), Coconut (Dried), Coconut flakes, Coconut oil, Coriander, Cucumber Seeds, Dehulled Foxtail Millet, Dehulled Pearl Millet, Dehydrated Green / Red Chilly Powder, Dilli Rajma Masala, Dried Curry leaves, Dried mango slices, Dried pepper-Green, extra virgin coconut oil, Finger millet flour, Foxtail Millet, Garam Masala, Ginger Candy, Gram Flour/Besan, Green Cardamom, Green Chilli Flakes, Green Chilli Powder (dry), Green Moong Dal, Green Tea, Groundnut chikkies, Groundnut/Peanut, Groundnut/Peanut oil (Edible grade), Idli Flour/powder, Jaggery, Jaggery powder, Jowar, Jowar flour, Kodo/Kodon Millet, Lemon Powder, Little millet, Mango Powder/ Aamchur, Masoor Dal, Mix Dal, Mix millet flour, Moong Dal, Moong masala Papad, Multi grain Atta, Mumbai Pau Bhaji Masala, Neem powder, Nutmeg Whole, Oat flour, Oats (Flakes), Olive Oil Edible grade, Olive Oil Virgin, Paprika (Capsicum annuum), Pearl Millet/Bajra, Peshawari Biryani Masala, Peshawari Tikka Masala, Pomegranate dried seeds, Poppy seeds, Proso millet, Pumpkin Seeds, Ragi Flour, Ragi Vermicelli, Ragi/Finger Millet grain, Rapeseed Oil, Rasam powder, Red Chilli (whole), Red Rice, Rice Sonamasuri Hand pound, Rice-Sona Masuri, Safflower Seed Oil (Kardi Seed Oil), Saffron, Sambhar Powder, Sawan/Barnyard Millet, Sesame chikkies, Sesame Oil/Gingelly Oil, Sorghum, Soybean/soyabean oil, Sunflower oil: edible grade, Tamarind dry (Imli), Tamarind Powder (Imli), Tandoori Masala, Tea Tulsi Ginger, Tulsi Powder, Tur/ Toor Dal, Turmeric Powder, Urad Dal Black Split, Urad dal-Whole(White), Urad Whole(black), Urd papad, Virgin coconut oil, Water Melon Seeds, Wheat flour, Wheat grain, Wheat Maida, Wheat Porridge/Dalia, Wheatgrass powder, Whole Wheat Atta Premium"
EVERTON TEA INDIA PRIVATE LIMITED Certified,ORG-1411-001792,Chittoor,ragunawardhana@evertonspa.it,"270 Alstonia Drive,, Chittoor, Andhra Pradesh",NPOP,validfrom 12/11/2023,11/11/2024,"Black Tea, Black tea bags, Chamomile (M.chamomile), Chamomile Tea, Decaffeinated Black tea, Decaffeinated Green tea, Fennel tea bag cut, Fennel/saunf, Flavoured Tea, Ginger whole (dried), Green Tea, Green Tea Bags"
FROZEN TROPICALS PRIVATE LIMITED Certified,ORG-1908-002056,Chittoor,quality@frozentropicals.com,"(A unit of Swadhika Foods LLP)Vepanapalli Village, Thenepalli Post,, Chittoor, Andhra Pradesh",NPOP,validfrom 27/11/2023,24/11/2024,"Coconut, coconut Meat, Frozen Alphonso Mango Dice, Frozen Alphonso Mango Slice, Frozen Red Papaya Dice, Frozen Red Papaya Slice, Frozen Totapuri Mango Dice, Jackfruit, Papaya chunks, Pineapple chunks, Pineapple dices, Pineapple Slices, Totapuri Mango pulp, Watermelon"
GIRI CHAITANYA FARMING AND MARKETING MUTUALLY AIDED COOPERATIVE SOCIETY Certified,ORG-2211-004069,Visakhapatnam,ashrithkalpanaturals@gmail.com,"1-14, pujaripakalu, GK VEEDHI, Visakhapatnam, Andhra Pradesh",NPOP,validfrom 02/03/2024,27/01/2025,"Arabica Bulk, Arabica Cherry AA, Arabica Cherry AB, Arabica Cherry BB, Arabica Cherry bulk, Arabica Cherry C, Arabica Cherry PB, Arabica Coffee Bulk, Arabica coffee PB, Arabica coffee Plantation A, Arabica Coffee Plantation B, Arabica Coffee Plantation C, Arabica Plantation AA, Arabica Plantation Bulk, Arabica Plantation Coffee, Arabica Plantation PB, Black Pepper, Black pepper (MG1), Black pepper (TGEB), Black pepper (TGSEB), Black Pepper cracked, Black pepper crushed, Black Pepper Powder, Cashew Whole, Coffee AB Grade Arabica Cherry, Coffee AB Grade Rob Parchment, Coffee AB Grade Rob cherry, Coffee Arabica Berry, Coffee Arabica Parchment, Coffee Arabica-Cherry, Coffee beans, Coffee beans-Arabica, Coffee beans-Robusta, Coffee C Grade Rob cherry, Coffee C Grade Rob Parchment, Coffee C Grade Arabica Cherry, Coffee Cherry-Arabica, Coffee Cherry-Robusta, Coffee clean, Coffee PB Grade Arabica Cherry, Coffee PB Grade Rob Parchment, Coffee PB Grade Rob cherry, Coffee Powder, Coffee Robusta berry, Coffee Robusta Cherry, coffee Robusta cherry AB Grade, Dried Coffee cherry- Robusta, Dried Coffee Cherry-Arabica, Ginger Fresh, Ginger Powder, Ginger sliced (dried), Ginger whole (dried), Green Coffee, Green Coffee Beans, Parchment Coffee-Arabica, Parchment Coffee-Robusta, Robusta Coffee - Cherry, Robusta Coffee Bulk, Robusta Parchment, Robusta Parchment - C, Robusta Parchment AA, Robusta Parchment AB, Robusta Parchment PB, Turmeric Dried, Turmeric Fresh, Turmeric Powder, Turmeric slice dried, White Pepper"
