Company Name,Certification ID,Location,Email,Address,Certifying Agency,Valid From,Valid To,Products
ARIHANT RICE MILL Certified,ORG-2310-002527,Kanker,ajinkyasolunke.21@gmail.com,"Village Kandel,Bastar Road,Charama, Kanker, Chhattisgarh",NPOP,validfrom 01/12/2023,30/11/2024,"Basmati rice, Broken rice, Brown Rice, Non-Basmati Rice, Organic Broken Rice, ORGANIC PARBOILED RICE (BROWN & WHITE), Rice bran"
ATUL RICE MILL Certified,ORG-2310-002638,Dhamtari,ajinkyasolunke.21@gmail.com,"Haraftarai, Dhamtari, Chhattisgarh",NPOP,validfrom 12/12/2023,11/12/2024,"Basmati rice, Broken rice, Brown Rice, Non-Basmati Rice, Organic Broken Rice, Parboiled Rice, Rice bran"
BHAGYASHREE HERBAL FARMS Certified,ORG-2001-000249,Raipur,bhagyshree.herbals@gmail.com,,NPOP,validfrom 02/02/2024,02/02/2025,"Adhatoda vasica powder (Kali basuti powder), Aloe Vera Powder, Amla dried, Amla powder, Annatto Powder, Arjun powder (Terminalia arjuna), Ashok (Saraca Indica), Ashoka powder, Ashwagandha Root Powder, Boswellia serrata, Brahmi/Bacopa monnieri Powder, Cassia auriculata (Tanners cassia), Chamomile powder, Guggal powder, Haritaki powder, Henna Powder, Kalmegh powder (Andrographis paniculata), Manjistha/Rubia cordifolia Powder, Moringa dried leaves, Moringa oleifera Leaf powder, Neem leaves powder, Pippali powder-Piper longum, Shatavari powder, Shikakai powder, Soap Nut/Reetha ( Powder), Tinospora cordifolia Powder, Tulsi Powder, Vibhitaki Powder"
"Honey Processing Unit, Bilaspur Certified",ORG-2111-006610,Bilaspur,mdjubilaspur@gmail.com,"Gate No. 02 Zoological Garden Kanan Pandari Mungeli, Bilaspur, Chhattisgarh",NPOP,validfrom 02/12/2023,02/12/2024,Wild Honey
MANORAMA INDUSTRIES LIMITED Certified,ORG-2311-002816,Mahasamund,ctf@manoramagroup.co.in,"2449 to 2610, PARSWANI ROAD, Near BIRKONI INDUSTRIAL AREA, Mahasamund, Chhattisgarh",NPOP,validfrom 22/01/2024,21/01/2025,"Castor Oil, Kokam oil, mango butter, Neem Seed Oil, Sal Oil"
PRAKRITI JARELI FARMER PRODUCER COMPANY LIMITED Certified,ORG-2307-001635,Bilaspur,sandeepsharma7636@gmail.com,"C/O Mr.Sandeep Sharma A-130, Nature City Bilaspur, Nagar Nigam, Ward No. 02, Abdul Kalam Nagar, Belha, Bilaspur, Bilaspur, Chhattisgarh",NPOP,validfrom 25/08/2023,24/08/2024,"Ajwain, Almond, Almond oil, Amla powder, Arhar dal (Red gram/Pigeon pea), Bajra flour/ Atta, Barley whole, Basmati Rice - White (Type 3), Bay leaves/Tejpatta, Bengal Gram(Chana)Flour, Black pepper (ungarbled), Black Pepper Powder, Brown Rice, Cashew nut (In shell), Castor Oil, Chana Black, chana Dal, Chia, Cinnamon, Clove whole, Coconut oil, Coriander Powder, Coriander seed/whole, Cumin whole, Dry/Dehydrated fenugreek leaves, Fennel/saunf, Flax Seed, Foxtail Millet, Garam Masala, Green Cardamom (Bulk), Green gram split yellow/Moong dal-yellow, Green Gram Whole (Moong Sabut), Groundnut/Peanut Oil (Crude), Himalayan Multiflower honey, Indian Organic Basmati Rice, Jaggery, Jaggery powder, Jowar, Kabuli Chana, Kalonji/nigella, Kasuri methi, Khandasari sugar, Kodo Millet Popped, Little millet, Mango Powder/ Aamchur, Masoor Dal, Masur/Masoor dhuli, Millet, Moong Dal, Moong dal-Split, Mustard Oil (crude), Mustard Seeds, Pearl Millet/Bajra, Poha / Chivda, Poha Flattened Rice, Processed Honey, Processed Wild/Forest Honey, Proso millet, Pumpkin Seeds, Quinoa, Ragi (Finger Millet- other than seed), Ragi Flour, Rajma Chitra in brine, Raw Honey, Red Chilli Powder, Red Kidney beans/Rajma (Phaseolus vulgaris), Red Rice, Saffron, Sattu, Sawan/Barnyard Millet, Sesame Oil/Gingelly Oil, Sugar (Brown/Natural), Suji/Semolina/ Cream of Wheat, Sunflower oil: edible grade, Sunflower seeds: Of seed quality, Turmeric Fresh, Turmeric Powder, Urad Dal Split, Urad dhuli, Urad Whole(black), Walnut broken, Wheat, Wheat flour, Wheat straw, Wild Honey-Heavenly Himalyan Acacia, Yellow mustard"
SAM'S TRADE Certified,ORG-2312-002930,Raipur,Siddharth.sur@gmail.com,"B2 SHAILENDRA NAGAR, Ward no.58-Shahid pankaj vikram ward, Raipur, Chhattisgarh",NPOP,validfrom 07/12/2023,06/12/2024,"Brown gram/Gram/Chana (Cicer arietinum), Maize (Corn), Mustard, Non-Basmati Paddy, Soyabean/Soybean Meal, Sunflower"
SHRI SAI POHA UDYOG Certified,ORG-2102-000422,BALODA BAZAR,vipinparashar7126@gmail.com,"Village Sendri Bhatapara, BALODA BAZAR, Chhattisgarh",NPOP,validfrom 06/09/2023,10/06/2024,"Non-Basmati Paddy, Poha / Chivda, Poha Flattened Rice, Puffed Rice Chivda, Red Rice Paddy"
SUNFLAG AGROTECH Certified,ORG-1212-001249,Raipur,rajnish.awasthi@gmail.com,"KH.NO. 504, HALKA NO. 41 VILLAGE SAKRI, DHARSIWA, Raipur, Chhattisgarh",NPOP,validfrom 17/01/2024,14/12/2024,"Ajwain Seed Oil, Almond oil, Ambrette seed oil essence, Amla, Anantmool (Hemidesmus indicus), Arrowroot powder, Ashwagandha Powder, Ashwagandha root, Bach, Bacopa monnieri (Neera Brahmi), Barley Grass Powder, Barleygrass, Basil (Ocimum Sanctum), Basil oil ( Ocimum basillicum), Basil oil (Ocimum sanctum), Basil(Bascillicum)ex Linalool, Basil(Bascillicum)ex Methyl Chavicol, Bel/Bael/Aegle marmelos, Bitter Orange oil, Black musale (Curculigo orchioides), Black pepper oil, Calamus oil, Callophyllum innophyllum oil, Calotropis gigantea (L.)R.Br.(Chess-flower plant), carrot seed oil, Castor Oil, Chamomile (M.chamomile), Chamomile Tea, Citronella oil, Coconut oil, Convolvulus pluricaulis (Shankpushpi), Coriander seed oil, Cumin Seed Oil, Curry leaf oil, Curry Leaf powder, Curry leaf/leaves, Davana oil, Dehydrated Ginger, Dill oil (Sowa Oil), Dry rose petals-Rose, Eucalyptus citridora oil, Eucalyptus globulus oil, Fennel seed oil, Fenugreek Seed (Methi Seed), Frankincense oil, Garlic oil, Geranium oil, German chamomile oil, Giloy Powder, Ginger Basil Tea, Ginger oil, Ginger Powder, Ginger sliced (dried), Ginger Tea, Ginger whole (dried), Groundnut/Peanut oil (Edible grade), Herbal tea, Hibiscus Dried Flower, Hibiscus Sabdariffa, Hibiscus tea, Holy Basil powder, Jojoba Oil, Kalmegh(Andrographis penniculata), Karanj Oil, Karinochi/Negundo (Vitex negundo), Kasuri methi, Krishna Tulsi TBC-Ocimum basilicum, Lemon Ginger Tea, Lemon mint Tea, Lemon Tea, Lemongrass, lemongrass dried, Lemongrass oil, Lemongrass powder, Lime Oil, Madhuka (Madhuca indica), Marigold/Tagetes oil, Marjoram sweet oil (Origanum marjorana), Marodphali (Helicteres isora), Mentha Arvensis Leaf / Herbage, Mentha Citrata Oil, Mentha Piperita Leaf / Herbage, Mentha Spicata Leaf / Herbage, Mentha/mint arvensis oil (M.arvensis), Metha/Mint Crystals, Methi leaf/fenugreek leave, Mint Tea, Moringa Powder, Moringa (M.oleifera), Moringa dried leaves, Moringa Ginger Tea, Moringa Green Tea, Moringa Lemon Tea, Moringa Peppermint Tea, Moringa seed oil, Mucuna pruriens (Mucuna), Mustard Oil (crude), Nagarmotha oil, Nagarmotha oil (Cyprus Scariosus), Neem leaves, Neem oil, Noni (Morinda Citrifolia. L), Ocimum basilicum (Krishna/Vana Tulsi), Palash flower, Palmarosa Oil, Papaya leaves (C.papaya), Patchouli, Patchouli Leaves (Dried), Patchouli oil, Peppermint Oil (Mentha piperita), Plumbago zeylanica (Chitrak/chitrakmool), Rama Tulsi TBC-Ocimum sanctum, Rama Tulsi-Ocimum sanctum, Rauwolfia/R.serpentina (Sarpgandha), Red Guava-Nothapodytes nimmoniana, Ricinus communis (Errand), Rose oil, Rose Tea, Rosemary Oil, Safflower Seed Oil (Kardi Seed Oil), SAL (SHOREA ROBUSTA), Sarpgandha powder/ Rauwolfia serpentina powder, Screw tree (Helicteres isora), Sesame Seed - Oil, Shikakai, Soybean/soyabean oil, Spearmint oil (Ex-mentha spicata), Stevia/Stevia rebaudiana powder, Tamarind/Imli (T.indica), Terminalia bellirica/baheda, Terminalia chebula fruit (Harar), Tinduka (Diospyros peregrine), Tulsi Sweet Rose, Tulsi Tea, Tulsi Tea Lemon Ginger, Tulsi Tea Original, Tulsi Tea Peppermint, Turmeric fingers, Turmeric oil, Turmeric Powder, Turmeric whole-dried, Vana Tulsi (Ocimum gratissimum), Vana tulsi TBC-Ocimum gratissimum, Vetiver Oil, Vetivert powder, Wheatgrass, Wheatgrass powder, Ylang ylang oil"
Suresh Industries Certified,ORG-2310-002516,Raipur,sureshindustries.info@gmail.com,"Village- Sinodha,, Raipur, Chhattisgarh",NPOP,validfrom 23/11/2023,22/11/2024,"Basmati Paddy, Basmati rice, Broken rice, Non-Basmati Paddy, Non-Basmati Rice"
