Company Name,Certification ID,Location,Email,Address,Certifying Agency,Valid From,Valid To,Products
AARSHAVEDA WELLNESS PRIVATE LIMITED Certified,ORG-2305-001081,Ernakulam,aarshaveda@gmail.com,"IX/338, Bank Road, Ernakulam, Kerala",NPOP,validfrom 22/08/2023,21/08/2024,"Almonds (In shell), Aloe Vera Powder, Amla extact capsule, Amla powder, Andrographis paniculata Powder, Arjun powder (Terminalia arjuna), Arrowroot powder, Ashoka powder, Ashwagandha Capsule, Ashwagandha Extract, Ashwagandha Powder, Ashwagandha Root Powder, Avipattikar churn, Bala powder, Barley Flour, Bay Leaf, Bhumiamalaki powder, Black pepper (garbled), Boswella serrata, BRAHMI capsule, Brahmi Powder, Cardamom, Cashew Whole, Castor Oil (Edible grade), Chia, Chyawanaprasham, Cinnamon, Clove whole, Coconut oil, Commiphora whitii (Guggul), Convolvulus pluricaulis Powder, Cumin oil, Cumin seed, Curcumin (Curcuminoids), Cyperus rotundus/Musta powder, Dashamula powder, Eclipta alba Powder, extra virgin coconut oil, Fenugreek Seed (Methi Seed), Flax Seed, Foxtail Millet, Fruit vinegar, Ginger Powder, Gokshura powder-tribulus terrestris, Gotukola Powder, Grape seed oil, Haritaki powder, Health mix, Honey Spreads, Indigo Powder, Kapha Tea, KODO Millet Flour, Kutaja, Liquorice powder, Manjistha/Rubia cordifolia Powder, Moringa Powder, Moringa capsule, Moringa seed oil, Mucuna pruriens Powder, Mustard oil (aroma/E. Oil), Neem Capsule, Neem leaf powder, Neem oil, Neem powder, Nirgundi Powder, Olive Oil Edible grade, Pearl Millet/Bajra, Pippali powder-Piper longum, Pitta Tea, Pumpkin Seeds, Punarnava powder, Raisins/Kismis, Red Chilli Powder, Roasted Seed Mix, Rose water/hydrosol, Safed Musli powder, Seed Mix, Senna Leaves Powder, Sesame Oil/Gingelly Oil, Shatavari Capsule, Shatavari powder, spicemix 2, Spicemix 3, Sunflower oil: edible grade, Sunflower Seeds- Dehulled, Terminalia bellirica powder, Tinospora cordifolia Powder, Trikatu Capsule, Trikatu powder, Triphala Capsule, Triphala Powder, TULSI capsule, Tulsi Powder, Turmeric Capsule, Turmeric extract, Turmeric Powder, Vata Tea, Vidanga Powder, Virgin coconut oil, walnut"
AARSHAVEDA WELLNESS PRIVATE LIMITED Certified,ORG-2305-001082,Ernakulam,aarshaveda@gmail.com,"IX/338, Bank Road,, Ernakulam, Kerala",NPOP,validfrom 22/08/2023,21/08/2024,"Almonds (In shell), Aloe Vera Powder, Amla extact capsule, Amla powder, Arjun powder (Terminalia arjuna), Arrowroot powder, Ashoka powder, Ashwagandha Capsule, Ashwagandha Extract, Ashwagandha Powder, Ashwagandha Root Powder, Avipattikar churn, Bala powder, Barley Flour, Bay Leaf, Bhumiamalaki powder, Black pepper (garbled), Boswellia serrata, BRAHMI capsule, Brahmi Powder, Cardamom, Cashew Whole, Castor Oil (Edible grade), Chia, Chyawanaprasham, Cinnamon, Clove whole, Coconut oil, Commiphora whitii (Guggul), Convolvulus pluricaulis Powder, Cumin oil, Cumin seed, Curcumin (Curcuminoids), Cyperus rotundus/Musta powder, Dashamula powder, Eclipta alba Powder, extra virgin coconut oil, Fenugreek Seed (Methi Seed), Flax Seed, Foxtail Millet, Fruit vinegar, Ginger Powder, Gokshura powder-tribulus terrestris, Gotukola Powder, Grape seed oil, Haritaki powder, Health mix, Honey Spreads, Indigo Powder, Kalmegh powder (Andrographis paniculata), Kapha Tea, KODO Millet Flour, Kutaja, Liquorice powder, Manjistha/Rubia cordifolia Powder, Moringa Powder, Moringa capsule, Moringa seed oil, Mucuna pruriens Powder, Mustard oil (aroma/E. Oil), Neem Capsule, Neem leaf powder, Neem oil, Neem powder, Nirgundi Powder, Olive Oil Edible grade, Pearl Millet/Bajra, Pippali powder-Piper longum, Pitta Tea, Pumpkin Seeds, Punarnava powder, Raisins/Kismis, Red Chilli Powder, Roasted Seed Mix, Rose water/hydrosol, Safed Musli powder, Seed Mix, Senna Leaves Powder, Sesame Oil/Gingelly Oil, Shatavari Capsule, Shatavari powder, spicemix 2, Spicemix 3, Sunflower oil: edible grade, Sunflower Seeds- Dehulled, Terminalia bellirica powder, Tinospora cordifolia Powder, Trikatu Capsule, Trikatu powder, Triphala Capsule, Triphala Powder, TULSI capsule, Tulsi Powder, Turmeric Capsule, Turmeric extract, Turmeric Powder, Vata Tea, Vidanga Powder, Virgin coconut oil, walnut"
AB Mauri India Pvt Ltd Certified,ORG-0912-000165,Ernakulam,suresh.mullakkal@abmauri.com,"Plot No.24, Cochin Special Economic Zone (CSEZ), Kakkanad, Ernakulam, Kerala",NPOP,validfrom 01/11/2023,30/09/2024,"Ajwain, Allspice, Bay Leaf, Bay leaf powder, Black cumin, Black Cumin Powder, Black pepper (garbled), Black pepper (light black), Black pepper coarse ground, Black Pepper cracked, Black pepper ground/powder- sterilized, Black pepper milled, Black pepper whole sterilized, Cardamom, Cardamom Large (Black), Cardamom Powder, Cassia, Cassia Fistula powder, Celery, Celery Powder, Chilli crushed, Chilli powder, Chilli whole, Cinnamon, Cinnamon (Powder), Clove (Stem), Clove powder, Coriander, Coriander Crushed, Coriander Powder, Coriander Powder sterilized, Cumin Powder, Cumin whole, curry powder, Dill Seed (Aowa), Dried Pepper-black, Fennel Powder, Fennel Seed, Fennel/saunf, Fenugreek, Fenugreek Powder (Methi Powder), Garam Masala, Garlic flakes, Garlic Powder, Ginger Powder, Ginger whole, Guntur chilly - Capsicum annum, Mace, Mace Powder, Mustard, Mustard Powder, mustard Seeds-Yellow, Nutmeg Powder, Nutmeg Whole, Onion (Powder), Onion flakes, Red Chilli (whole), Red Chilli Powder, Sesame powder, Sesame seeds, Star anise, Turmeric flakes, Turmeric ground steam sterilized, Turmeric Powder, Turmeric whole-dried, White Pepper, White pepper crushed, White Pepper powder, White pepper powder steam sterilized, White Sesame/Sesame"
ABN TRADES Certified,ORG-2208-002918,Alappuzha,nitin@abntrades.com,"VII/760 C, Thuravoor South P.O, Cherthala P.O, Alappuzha, Kerala",NPOP,validfrom 15/12/2023,29/09/2024,"Ajwain, Ajwain Powder, Ajwain/Bishop Weed seed, Alfalfa, Almond, Almond oil, Aloe Vera, Aloe Vera Juice, Alphonso Mango, Amaranth Flour, Amaranth roasted, Amaranth seed/ Ram dhana, Amla, Amla dried, Amla Juice, Amla powder, Amla whole dried, Aonla, Aonla Powder, Apricots, Arhar dal (Red gram/Pigeon pea), Asafoetida powder, Ashwagandha Powder, Ashwagandha root, Ashwagandha Root Powder, Asparagus racemosus (Shatawar), Asparagus racemosus Powder, Asparagus racemosus-root-powder, Bajra porridge/Dalia, Bala powder, Banana dehydrated, Barley Flakes, Barley Flour, Barley Porridge/Dalia, Barley whole, Barley- Dehulled, Basil seeds, Basil/Tulsi, Basmati Paddy, Basmati rice, Basmati rice-brown, Basmati rice-white, Bay Leaf, Bay leaves/Tejpatta, Beaten rice, Beet Root powder, Bengal Gram Whole, Bengal Gram(Chana)Flour, Bitter Gourd, Black cumin, Black Cumin Powder, Black Gram De-husked, Black Gram Flour, black gram split white, black gram white whole, Black gram/Urd (Vigna sp.), Black Matpe (Black Urad Dal), Black Mustard Oil, Black Mustard Seed, Black Pepper, Black pepper (garbled), Black pepper (light black), Black pepper crushed, Black Pepper Powder, Black Sesame/Sesamum-seed quality, Brahmi Powder, Brahmi/Bacopa monnieri, Broken rice, Brown gram/Gram/Chana (Cicer arietinum), Brown mustard, Brown Mustard Oil, Brown Rice, Brown rice flakes, Brown Rice flour, Buchanania lanzan Spreng (Cheerojee), Buck wheat (seed quality), Buckwheat Flour, Buckwheat- Dehulled, Cane molasses, Cane Sugar cubes, Cardamom, Cardamom Large (Black), Cardamom Powder, Cashew kernel (Shelled whole), cashew kernels (w180), cashew kernels (w210), cashew kernels (w240), cashew kernels (w320), Cashew nut (In shell), Cashew nut (roasted & salted), Cashew nut (roasted), Cashew Whole, Cashew-Split, Castor Oil (Edible grade), chana Dal, Chana Masala, Chat masala, Chia, Chicken Curry Masala, Chicken Masala, Chickpea/Kabuli Chana (garbanzos), Chilli dried, Chilli powder, Chilli whole, Chitkabra rajma himalayan, Chitra Kidney beans/Rajma (Phaseolus vulgaris), Chives (Allium schoenoprasum), Chives Dehydrated, Cinnamon, Cinnamon (Powder), Cinnamon bark powder, Cinnamon nice bark, Cinnamon Tamala (Leaves), Cinnamon thick bark, Clove powder, Clove whole, Cloves, Cluster beans/ Guar, Coconut, Coconut (Dried), Coconut Desiccated, Coconut flakes, Coconut oil, Coffee beans, Coffee Cherry-Arabica, Coffee Powder, Coffee Robusta Cherry, Cooked/ roasted/ cracked Corn, Cooked/ roasted/ cracked Linseed, Cooked/ roasted/ cracked Rapeseeds, Cooked/ roasted/ cracked Soyabean seeds, Coriander, Coriander Leaf Dehydrated, Coriander Powder, Coriander seed/whole, Coriander split, Corn Daliya/ Corn Porridge, Cowpea, Cowpea Red, Cowpea split, Cowpea white dal, Cowpea/Lobia whole(V.unguiculata/sinensis), Cucumber Seeds, Cumin (Black -seed quality), Cumin (Non-Black -seed quality), Cumin Powder, Cumin seed, Cumin whole, Dashamoola TBC, Dates-Hard (chhohara), Dates-Soft (khayzur or wet dates), Dehulled Foxtail Millet, Dehulled Pearl Millet, Dehulled Sorghum, Dehydrated Bitter Gourd, Dehydrated Curry leaves powder, Dehydrated Garlic Flakes, Dehydrated garlic powder, Dehydrated Ginger Powder, Dehydrated Green / Red Chilly Powder, Dehydrated Mango, Dehydrated onion powder, Dehydrated Orange Flakes, Dehydrated Pineapple, Dehydrated Pink/Red Onion Flakes, Dehydrated Potato Flakes, Dehydrated Tamarind Powder, Dilli Rajma Masala, Dried Cardamom, Dried Clove, Dried Curry leaves, Dried garlic, Dried mango slices, Dried nutmeg shelled, Dried pepper-Green, Dried potato chips, Drum Stick powder, Drumstick, Dry rose petals-Red, Dry/Dehydrated fenugreek leaves, Durum Wheat (seed quality), Eclipta alba (Bhrigjraj/Bhringraj), extra virgin coconut oil, Fennel (other than seed), Fennel Powder, Fennel Seed, Fennel Seed - Roasted, Fennel/saunf, Fenugreek, Fenugreek Crushed, Fenugreek Powder (Methi Powder), Fenugreek Seed (Methi Seed), Finger millet flour, Flax Seed, Flax Seed oil, Flax seed powder, Flaxseed, Foxtail Millet, Garam Masala, Garam masala powder - medium, Garlic Dehydrated, Garlic flakes, Garlic paste, Garlic Powder, Ginger Candy, Ginger Flakes, Ginger paste, Ginger Powder, Ginger whole, Ginger whole (dried), Gluten Free Daliya, Gram Flour/Besan, Green Cardamom (Bulk), Green Cardamom Powder, Green Chana (Gram), Green chilli dry, Green Chilli Flakes, Green Chilli Powder (dry), Green Gram Flour, Green gram powder/ Moong Dal Powder, Green gram split yellow/Moong dal-yellow, Green Gram Whole (Moong Sabut), Green gram/chana/Moong (Vigna sp.), Green gram/Moong dhuli, Green Moong Dal, Green peas, Green pepper (dehydrated), Green pepper powder, Green Tea, Groundnut chikkies, Groundnut/Peanut, Groundnut/Peanut Oil (Deodorized-Salad Oil)-edible grade, Groundnut/Peanut oil (Edible grade), groundnut/peanut roasted, Guduchi (Tinospora Cordifolons), Horse gram (Macrotyloma uniflorum), Idli Flour/powder, Indian Organic Basmati Rice, Indian Organic Brown Basmati Rice, Jackfruit-Canned, Jaggery, Jaggery cube, Jaggery liquid, Jaggery powder, Jowar, Jowar flour, Jowar Porridge, Kabuli Chana, Kali Musli (Curculigo orchioides), Kalmegh powder (Andrographis paniculata), Kalonji/nigella, Kasuri methi, Kodo/Kodon Millet, Kokum/Garcinia, Lemon grass root powder, Lemon Powder, Lemongrass, lemongrass dehydrated, Lentil dal, Lentil Flour, Lime Leaves Powder, Little millet, Mace, Mace Powder, Maida, Maize (Corn), Maize (Corn) Flake, Maize fodder, Maize/ corn porridge (Dalia), Maize/Corn flour, Malka Whole, Mango dried, Mango Flour/Powder, Mango Powder/ Aamchur, Manjista, Martynia annua (small fruit devil claw), Masoor (Lens Culinaris), Masoor Dal, Masoor Dal-Split with out Shell, Masoor Flakes, Masur/Masoor dhuli, Matki/Moth Bean, Millet Flour, Millet porridge, Mix Dal, Mix millet flour, Moong Dal, Moong dal (Vigna radiata (Extract), Moong Dal Flakes, Moong Dal Plain, Moong dal-Split, Moong Dal-Split with shell, Moong masala Papad, Moong papad (Plain), Moringa dried leaves, Moringa oleifera Leaf powder, moth dal, Moth Dhuli, Multi grain Atta, Mumbai Pau Bhaji Masala, Muskmelon seeds, Mustard, Mustard - Black, Mustard black powder, Mustard oil (aroma/E. Oil), Mustard Oil (Refined), Mustard Powder, Mustard Seeds, Mustard small, Mutton Curry Masala, Natural sesame seeds, Neem bark, Neem powder, Non-Basmati Paddy, Non-Basmati Rice, Nutmeg (Shelled), Nutmeg Powder, Nutmeg Whole, Oat - Dehulled, Oat flour, Oats (Flakes), Oats (Other than seed/grain), Oats (Rolled grains), Olive oil, Olive Oil Edible grade, Olive Oil Virgin, Onion (Powder), Onion flakes, Oregano, Oregano leaves, Organic Broken Rice, Out Shelled Raw Cashew nuts, Paddy-Sona Masuri, Papad/ plain papadum, Paprika (Capsicum annuum), Pea- Dried, Pearl Millet/Bajra, Pepper long/Pippali (Piper longum), Peshawari Biryani Masala, Peshawari Tikka Masala, Pigeon pea, Pigeon pea/arhar whole, Poha / Chivda, Poha Flattened Rice, Pomegranate dried seeds, Pomegranate seed powder, pomegranate seeds/anardana, Potato Dehydrated, Potato Powder, Proso millet, Psyllium husk (isobgul), Psyllium husk powder, Psyllium seed (isobgul), Puffed Rice brown, Puffed Rice Chivda, Pumpkin Seeds, Punjabi Rajma, Quinoa, Ragi (Finger Millet- other than seed), Ragi Flour, Ragi/Finger Millet grain, Raisins/Kismis, Rapeseed Oil, Rapeseed/Rai/Rye, Rasam powder, Raw Cashewnut Kernels, Red Chilli (whole), Red Chilli Flakes, Red Chilli Powder, Red Flattened Rice, Red Gram, Red Kidney beans/Rajma (Phaseolus vulgaris), Red onion powder, Red Rice, Red Rice Flour, Red Rice Paddy, Rice bran, Rice Flakes, Rice Flour, Rice hand pounded, Rice Porridge/dalia, Rice Puffed, Rice Sonamasuri Brown, Rice Sonamasuri Hand pound, Rice-Sona Masuri, Roasted Almonds, Roasted Gram/ chana, Roasted wheat, Rosemary, Safflower Seed Oil (Kardi Seed Oil), Saffron, Sambar Mix/ Sambar Powder, Sapota dried/dehydrated, Sattu, Sawan/Barnyard Millet, Seed Mix, Sesame chikkies, Sesame Oil/Gingelly Oil, Sesame powder, Sesame seeds: Oil cake meal, Sesame white dehulled, Sesame/Sesamum, Shahi Jeera/Cumin, Sorghum, Sorghum Flour, Sorghum Grain, Soyabean Flakes, Soyabean/Soybean Black, Soyabean/Soybean Flour, Soyabean/Soybean White, Soybean, Soybean Nuggets, Soybean Whole, Soybean/soyabean oil, Spearmint - Mentha spicata- TBC, Special Turmeric Powder, Split Chickpea/Kabuli Chana (garbanzos), Split Gram/Chana (Cicer arietinum), Split Green gram/Moong (Vigna sp.), Split Lentil, Split Pigeon pea/arhar/Red gram, Star anise, Strawberries/Strawberry Puree, Sugar, Sugar (Brown/Natural), Sugarcane, Suji/Semolina/ Cream of Wheat, Sunflower, Sunflower Flour, Sunflower oil: edible grade, Sunflower Seed Oil, Sunflower Seeds- Dehulled, Sunflower seeds: Of seed quality, Tamarind dry (Imli), Tamarind Powder (Imli), Tandoori Masala, Tea Tulsi Ginger, Terminalia bellirica powder, Thymes, Triphala Powder, Tulsi Powder, Tur/ Toor Dal, Turmeric Dried, Turmeric flakes, Turmeric Powder, Turmeric whole-dried, Urad (phasleolus mungo) Black gram, Urad Dal Black Split, Urad Dal Split, Urad Dal-Spilt with Shell, Urad Dal-Split without Shell, Urad dal-Whole(White), Urad dal/Split Black gram, Urad dhuli, Urad Whole(black), Urd papad, Vegetable powder/ flakes, Virgin coconut oil, walnut, Walnut kernels, Walnuts: In Shell, Walnuts: Shelled, Water Melon Seeds, Wheat, Wheat (seed quality), Wheat Flakes, Wheat flour, Wheat flour/Atta (Machine Milled), Wheat grain, Wheat Maida, Wheat Porridge/Dalia, Wheatgrass, Wheatgrass powder, White Cane Sugar, White Kidney beans/Rajma (Phaseolus vulgaris), White Pepper, White pepper crushed, White Pepper powder, White Rice flour, White Sesame/Sesame, Whole Wheat Atta Premium, Yellow mustard, Yellow Mustard Powder/ ground"
Akay Natural Ingredients Private Limited Certified,ORG-1503-000453,Ernakulam,christopher.t@akaygroup.com,"Ambunad, Malaidamthuruthu P.O ,Kizhakambalam, Ernakulam, Kerala",NPOP,validfrom 27/05/2023,26/05/2024,"Adhatoda vasica Extract (Vasaka Extract), Aonla/Amla Extract, Ashwagandha Extract, Basil extract, Beet Root powder, Black Pepper Extract, Black Pepper Powder, Boswella serrata Extract, Brahmi-Bacopa monnieri- extract, Cassia fistula Extract, Cinnamon - Extract, Clitoria ternatea L.(Sankupushpi), Clove (Extracted), Clove powder, Cocoa Extract, Coriander Extract, Cumin Extract, Curcumin (Curcuminoids), Emblica officinalis Extract, Fennel Extract, Fenugreek extract, Fenugreek Powder (Methi Powder), Garlic extract, Ginger (1) extract powder, Ginger ExtractZingiber officinalis/, Gotukola-centella asiatica extract, Green Coffee Extract, Green tea extract, Gymnema extracts, Health mix, Licorice Water Extract, Longa Piper extract, Moringa oleifera leaves extract, Neem extract, Onion Extract, Phyllanthus niruri Extract, Terminalia arjuna Bark - Extract, Terminalia arjuna Extract, Tinospora cordifolia Extract, Triphala - Extract/powder, Turmeric extract, Turmeric Oleoresin, Vitex negundo Extract"
Akay Spices Pvt. Ltd. Certified,ORG-1501-000025,Ernakulam,Albin.Sebastian@akay-group.com,"Akanadu, Mudakuzha P.O, VIA VENGOOR, Ernakulam, Kerala",NPOP,validfrom 30/01/2024,21/01/2025,"Black Pepper, Black pepper crushed, Black Pepper Powder, Black pepper TBC, Cardamom, Cardamom Large (Black), Cardamom Powder, Cardamom seed, Cardamom TBC, Celery, Celery Powder, Chilli crushed, Chilli dried, Chilli powder, Chilli whole, Cinnamon, Cinnamon (Powder), Cinnamon TBC, Clove powder, Clove TBC, Clove whole, Cloves, Coriander, Coriander Powder, Coriander seed/whole, Coriander TBC, Cumin Powder, Cumin seed, Cumin TBC, Cumin whole, Fennel Powder, Fennel Seed, Fennel tea bag cut, Fenugreek, Fenugreek Crushed, Fenugreek Powder (Methi Powder), Fenugreek TBC, Ginger Powder, Ginger sliced (dried), Ginger TBC, Ginger whole, Mace, Mace Powder, Nutmeg Cracked halves, Nutmeg Powder, Nutmeg tea bag cut, Nutmeg Whole, Turmeric Dried, Turmeric Powder, Turmeric TBC, Turmeric whole-dried, White Pepper, White pepper crushed, White Pepper powder"
APAPO ORGANIC Certified,ORG-2202-000388,Malappuram,chief@apapoorganic.com,"11/372,11/373,Podiyat,Peleppuram,Elankur BO, Manjeri Circle, Malappuram, Kerala",NPOP,validfrom 04/04/2024,04/03/2025,"Ajwain, Ajwain Powder, All spice powder, Aloe Vera leaves, Aloe Vera Powder, Alphonso Mango, Amla, Amla dried, Amla powder, Amla TBC, Arrow Root, Arrowroot powder, Asafoetida, Ashok (Saraca Indica), Ashoka powder, Ashwagandha Powder, Ashwagandha root, Ashwagandha Root Powder, Ashwagandha TBC, Bacopa monnieri (Neera Brahmi), Banana powder, Barley Flour, Barley whole, Basil/Tulsi, Basmati rice, Bay leaves/Tejpatta, Bengal Gram Whole, Bengal Gram(Chana)Flour, Bhumiamalaki powder, Bitter Gourd, black gram white whole, Black Pepper, Black Pepper Powder, Black pepper TBC, Brahmi/Bacopa monnieri, Brahmi/Bacopa monnieri Powder, Brown Rice, Cardamom, Cardamom Large (Black), Cardamom Powder, Cardamom seed, Cardamom TBC, Cashew Whole, Celery Powder, Celery Seed, Centella asiatica, chana Dal, Chia, Chickpea/Kabuli Chana (garbanzos), Chicory roots, Chilli crushed, chilli flakes, Chilli Flakes-bird eye, Chilli powder, Chilli Powder-bird eye, Chilli whole, Chilli whole (dry), Chilli-Bird eye, Cinnamon, Cinnamon (Powder), Cinnamon bark, Cinnamon dried, Cinnamon TBC, Clove powder, Cloves, Cocoa beans, Coconut, Coconut (Dried), Coconut (Fresh), Coconut Desiccated, Coconut flakes, Coconut powder/dried coconut powder, Coffee beans-Arabica, Coffee beans-Robusta, Coffee Cherry-Arabica, Coffee Cherry-Robusta, Coffee Powder, Coriander Leaf Dehydrated, Coriander Powder, coriander seed, Coriander seed/whole, Coriander split, Coriander TBC, CTC Tea, Cumin Powder, Cumin seed, Cumin TBC, Cumin whole, Curry Leaf powder, Curry Leaf TBC, Dried Cardamom, Dried Clove, Dried Curry leaves, Dried garlic, Dried nutmeg shelled, Dry rose petals-Rose, Eclipta alba (Bhrigjraj/Bhringraj), Fennel Powder, Fennel/saunf, Fenugreek, Fenugreek Powder (Methi Powder), Fenugreek Seed (Methi Seed), Fenugreek TBC, Flax Seed, Flax seed powder, Foxtail Millet, Galanga Powder, Galanga TBC, Galangal roots, Garcinia cambogia (Fruit), Garcinia cambogia powder, Garlic, Garlic Powder, Ginger Powder, Ginger sliced (dried), Ginger TBC, Ginger whole (dried), Gokshura Fruit (Tribulus terrestris), Gokshura powder-tribulus terrestris, Gokshura TBC, Gotukola TBC-Centella asiatica-, Gram Flour/Besan, Green Cardamom, Green Cardamom Powder, Green gram split yellow/Moong dal-yellow, Green Gram Whole (Moong Sabut), Green Moong Dal, Green peas, Green pepper (dehydrated), Green Tea, Groundnut/Peanut, Gudmar(Gynemema leaves), Guduchi (Tinospora Cordifolons), Guntur Chilli, Gymnema powder, Haritaki powder, Haritaki/Harad(Terminalia chebula), Horse gram whole, Jackfruit, Jaggery, Jaggery powder, Jowar, Jowar flour, Kalmegh powder (Andrographis paniculata), Kodo/Kodon Millet, Kokum/Garcinia, Krishna tulsi (Ocimum sanctum), Krishna Tulsi Powder-Ocimum basilicum, Krishna Tulsi TBC-Ocimum basilicum, Lemon peel dried, Lemon Peel TBC, Lemongrass powder, Liquorice powder, Liquorice roots, Liquorice TBC, Little millet, Mace Powder, Maida, Maize (Corn), Mango Powder/ Aamchur, Manjista, Manjista TBC, Manjistha/Rubia cordifolia Powder, Masoor Dal, Millet porridge, Mint/Mentha leaves, Mix millet flour, Moong Dal, Moringa Powder, Moringa dried leaves, Moringa leaves, Moringa seed, Mucuna pruriens (Mucuna), Mucuna pruriens Powder, Mustard - Black, Mustard Powder, mustard Seeds-Yellow, Neem leaves, Neem leaves powder, Neem seed, Non-Basmati Rice, Nutmeg (In shell), Nutmeg (Shelled), Nutmeg Cracked halves, Nutmeg mace (dried), Nutmeg Powder, Nutmeg tea bag cut, Nutmeg Whole, Ocimum basilicum (Krishna/Vana Tulsi), Onion (Powder), Onion flakes, Orange peel powder/extract, Oregano, Oregano leaves, Pearl Millet/Bajra, Pepper long/Pippali (Piper longum), Peppermint leaf/ tea bag cut, Peppermint leaves, Pippali powder-Piper longum, Poha Flattened Rice, Punarnava powder, Punarnava TBC, Ragi Flour, Ragi/Finger Millet grain, Rama Tulsi TBC-Ocimum sanctum, Red Chilli (whole), Red Chilli Powder, Red Kidney beans/Rajma (Phaseolus vulgaris), Red Rice, Rice Flour, Rice Sonamasuri Hand pound, Roasted Chicory, Roasted Gram/ chana, Rose petals powder, Sawan/Barnyard Millet, Senna leaves, Senna Leaves Powder, Senna Leaves Tea Bag Cut (TBC), Senna pods, Senna Pods Powder, Shatavari, Shatavari powder, Shatavari Root, Spearmint - Mentha spicata- TBC, Spearmint leaves, Spearmint Powder, Stevia, Stevia leaves-dried, Stevia/Stevia rebaudiana powder, Sugar, Sugar (Brown/Natural), Suji/Semolina/ Cream of Wheat, Tamarind dry (Imli), Tamarind Powder (Imli), Terminalia arjuna, Terminalia bellirica powder, Terminalia bellirica/baheda, Tulsi leaves dry, Tulsi Powder, Tulsi TBC/Tulsi TBC Blend, Turmeric Powder, Turmeric slice dried, Turmeric TBC, Turmeric whole-dried, Urad (phasleolus mungo) Black gram, Urad Dal Split, Vana Tulsi (Ocimum gratissimum), Vana Tulsi Powder-Ocimum gratissimum, Vana tulsi TBC-Ocimum gratissimum, Vanilla (cured), Vanilla Powder, Vanilla TBC, Wheat, Wheat flour, Wheat Porridge/Dalia, White Pepper, White Pepper powder, Yellow mustard, Yellow Mustard Powder/ ground"
AUREA BIOLABS PRIVATE LIMITED Certified,ORG-2211-004077,Ernakulam,sajy.zachariah@aureabiolabs.com,"XI / 304 A, KADAYIRUPPU, Ernakulam, Kerala",NPOP,validfrom 27/01/2024,27/01/2025,"Ashwagandha Extract, Ashwagandha Oleoresin, Curcuma extract capsule, Turmeric extract, Turmeric oil, Turmeric Roots/Rhizomes Extract, Turmeric Roots/Rhizomes Powder"
AVT McCORMICK INGREDIENTS PVT LTD Certified,ORG-1512-002177,Ernakulam,anup_krishnan@avtspice.com,"Plot No. 225/1, A 5-7 Kaipoorikkara South Vazhakulam, Ernakulam, Kerala",NPOP,validfrom 20/01/2024,27/12/2024,"Allspice, Bay Leaf, Bay leaves/Tejpatta, Black Mustard Seed, Black Pepper, Black Pepper cracked, Cardamom, Cardamom Large (Black), Cardamom seed, Cassia, Celery Seed, Chilli dried, Chilli whole, Chilli whole (dry), Cinnamon, Cinnamon bark, Cinnamon dried, Clove whole, Cloves, Coriander, coriander seed, Coriander seed/whole, Cumin seed, Cumin whole, Dehydrated Ginger, Dill Seed (Aowa), Dried Cardamom, Dried Clove, Dried nutmeg shelled, Fennel Seed, Fennel/saunf, Fenugreek, Fenugreek Seed (Methi Seed), Garlic, Ginger sliced (dried), Ginger whole, Ginger whole (dried), Mace, Mustard, Mustard - Black, Mustard Seeds, Nutmeg (In shell), Nutmeg (Shelled), Nutmeg mace (dried), Nutmeg Whole, Onion flakes, Turmeric Dried, Turmeric fingers, Turmeric whole-dried, Yellow mustard"
AVT McCORMICK INGREDIENTS PVT. LTD. Certified,ORG-1512-002178,Ernakulam,anup_krishnan@avtspice.com,"Plot no 225/1,A 5-7,Kaipoorikara, South Vazhakulam, Ernakulam, Kerala",NPOP,validfrom 13/01/2024,27/12/2024,"All spice powder, Allspice, Bay Leaf, Bay leaf powder, Bay leaves/Tejpatta, Black Mustard Seed, Black Pepper, Black Pepper cracked, Black Pepper Powder, Black pepper whole sterilized, Cardamom, Cardamom Large (Black), Cardamom Powder, Cardamom seed, Cassia, Cassia Seed Powder, Celery Powder, Celery Seed, Chilli crushed, Chilli dried, Chilli powder, Chilli whole, Chilli whole (dry), Cinnamon, Cinnamon (Powder), Cinnamon bark, Cinnamon dried, Cinnamon TBC, Clove powder, Clove whole, Cloves, Coriander, Coriander Powder, coriander seed, Coriander seed/whole, Cumin Powder, Cumin seed, Cumin whole, Curry, curry powder, Dehydrated garlic powder, Dehydrated Ginger, Dehydrated onion powder, Dill Powder (Aowa), Dill Seed (Aowa), Dried Cardamom, Dried Clove, Dried nutmeg shelled, Fennel Powder, Fennel Seed, Fennel/saunf, Fenugreek, Fenugreek Powder (Methi Powder), Fenugreek Seed (Methi Seed), Garlic, Garlic Powder, Ginger Powder, Ginger sliced (dried), Ginger TBC, Ginger whole, Ginger whole (dried), Mace, Mace Powder, Madras Curry Masala, Mustard, Mustard - Black, Mustard black powder, Mustard Powder, Mustard Seeds, Nutmeg (In shell), Nutmeg (Shelled), Nutmeg mace (dried), Nutmeg Powder, Nutmeg Whole, Onion, Onion, Onion (Powder), Turmeric Dried, Turmeric fingers, Turmeric Powder, Turmeric steam sterilized, Turmeric TBC, Turmeric whole-dried, White Pepper, White pepper crushed, White Pepper powder, Yellow mustard, Yellow Mustard Powder/ ground"
