Company Name,Certification ID,Location,Email,Address,Certifying Agency,Valid From,Valid To,Products
Abhi Agro Organic Food Product Certified,ORG-1805-000855,Khandwa,abhiagro123@gmail.com,"Near Parshuram Engineering College,Jaswadi Hapla R, Khandwa, Madhya Pradesh",NPOP,validfrom 30/05/2023,29/05/2024,"Black cumin, Maize (Corn), Maize Grain, Maize/ corn porridge (Dalia), Mustard, Non-Basmati Rice, Rapeseed Meal, Soyabean/Soybean Meal-expeller var., Soyabean/Soybean/: Crude, Soybean, Wheat"
AGRAWAL OIL AND BIOCHEAM Certified,ORG-1106-000448,Indore,organicsoya@gmail.com,"20 INDUSTRIAL AREA RAU, Indore, Madhya Pradesh",NPOP,validfrom 26/06/2023,20/05/2024,"Flax Seed oil, Flax/Linseed Meal, Flaxseed, Glycerine, Groundnut meal, Groundnut/Peanut, Groundnut/Peanut Oil (Crude), Mustard, Mustard Meal, Mustard Oil (Refined), Rapeseed Meal, Rapeseed Oil, Rapeseed/Rai/Rye, Sesame Meal, Sesame Oil/Gingelly Oil, Sesame/Sesamum, Soya lecithin, Soyabean/Soybean Meal, Soyabean/Soybean Meal-expeller var., Soyabean/Soybean White, Soyabean/Soybean/: Crude, Soybean, Soybean Grits, Soybean/soyabean oil, Sunflower Seed Oil, Sunflower seeds: Of seed quality, sunflower seeds:oil-cake meal"
"Agriculture Technology Management Agency,  Certified",PGSI/C(MP)-1221,Mandla,pdadmamandla612@gmail.com,"Office of The Project Director Atma, Near Radio Station, Badi Kharee, Dindori Road, Mandla, Madhya Pradesh",PGS India,validfrom 30/11/-0001,25/03/2018,
AGRO WORLD Certified,ORG-2012-003215,Khargone,ashucot@gmail.com,"NIRANJAN NAGAR, Khargone, Madhya Pradesh",NPOP,validfrom 27/03/2024,04/01/2025,"Black gram/Urd (Vigna sp.), Green Gram Whole (Moong Sabut), Pigeon pea/arhar whole, Raw Cotton, Soyabean/Soybean White, Wheat"
Agrosia Overseas Certified,ORG-1901-000248,Dhar,agrosiaoverseas@gmail.com,"702 -703 sector- 3 industrial Area , Pithmpur Dhar, Dhar, Madhya Pradesh",NPOP,validfrom 25/01/2024,24/01/2025,"Flax/Linseed Meal, Flax/Linseed Oil, Flaxseed, Maize (Corn), Maize (Corn-other than seed), Maize (Corn-Seed Quality), Maize Grain, Maize Groat, Rapeseed Meal, Rapeseed Oil, Sesame Meal, Sesame Oil/Gingelly Oil, Sesame seeds, Soyabean/Soybean Flour, Soyabean/Soybean Meal, Soyabean/Soybean Meal (defatted), Soyabean/Soybean Meal-expeller var., Soyabean/Soybean White, Soybean, Soybean Grits, Soybean/soyabean oil"
Ajay Agro Industries Certified,ORG-2401-000151,Khandwa,ajayagroindustries@yahoo.com,"221/2,3, Village Borgaon khurd, Pandhana road, Khandwa, Madhya Pradesh",NPOP,validfrom 02/03/2024,01/03/2025,Raw Cotton
Amitex Agro Product Private Limited Certified,ORG-1910-002399,Barwani,marketing@amitexindia.com,"Survey No. 185/1, 192/3, Gram Julwania, Barwani, Madhya Pradesh",NPOP,validfrom 31/01/2024,30/01/2025,"Lecithin, Soya lecithin, Soyabean/Soybean Meal, Soyabean/Soybean Meal-expeller var., Soyabean/Soybean White, Soyabean/Soybean/: Crude, Soybean Grits, Soybean/soyabean oil, Sunflower Meal, Sunflower Seed Oil, Sunflower seeds: Of seed quality, sunflower seeds: Oil-cake"
Anant Agro Industries (Javik Krishi Pariyojana) Certified,ORG-2301-000003,Khargone,cmindustries@gmail.com,"Khasra No. 207/2 ,Village - Pipliya Bujurg, Zirniya Road, Khargone, Madhya Pradesh",NPOP,validfrom 27/02/2024,08/02/2025,"Chickpea/Kabuli Chana (garbanzos), Maize Grain, Raw Cotton, Soyabean/Soybean White, Wheat grain"
APPKIN AGRO PRIVATE LIMITED Certified,ORG-2204-001327,Indore,kinshuk@organicana.in,"GODOWN NO. 54,55, SAHAKARI SHITGRAH MARYADIT, SHRAMIK COLONY, A.B ROAD, RAU, Indore, Madhya Pradesh",NPOP,validfrom 27/10/2023,04/08/2024,"Amaranth seed/ Ram dhana, Amla ???Candy, Amla churna, Amla dried, Amla powder, Arhar dal (Red gram/Pigeon pea), Basil seeds, Basil/Tulsi, Basmati rice, Black Pepper, Brown gram/Gram/Chana (Cicer arietinum), Cardamom, chana Dal, Chia, Chickpea/Kabuli Chana (garbanzos), Cinnamon, Cloves, coriander seed, Fennel/saunf, Fenugreek Seed (Methi Seed), Flax Seed, Foxtail Millet, Ginger Flakes, Green gram split yellow/Moong dal-yellow, Green Gram Whole (Moong Sabut), Jaggery, Jaggery powder, Kalonji/nigella, Khandasari sugar, Lemon Powder, Little millet, Masoor Dal, Moong Dal-Split with shell, Moringa Powder, Musk Melon Seeds - Dehulled, Mustard, Non-Basmati Rice, Pearl Millet/Bajra, Poha / Chivda, Processed Honey, Processed Wild/Forest Honey, Proso millet, Pumpkin Seeds, Quinoa, quinoa, Ragi/Finger Millet grain, Red Kidney beans/Rajma (Phaseolus vulgaris), Roasted Brown Flaxseed, Saffron, Sawan/Barnyard Millet, Shahi Jeera/Cumin, Sorghum, Stevia leaves-dried, Sunflower Seeds- Dehulled, Turmeric Dried, Turmeric Powder, Urad Dal Split, Urad dal-Whole(White), Urad Whole(black), Water Melon Seeds, Wheat, Wheat Porridge/Dalia, Wheatgrass powder"
BERGWERFF ORGANIC INDIA PRIVATE LIMITED Certified,ORG-2006-001116,Indore,suchit.sonwane@suminter.com,"Choudhary Warehouse, Chamber-2, Nemavar Raod, Morod Hat Village, Indore, Madhya Pradesh",NPOP,validfrom 17/07/2023,13/07/2024,"Soyabean/Soybean Meal, Soyabean/Soybean Meal-expeller var., Soyabean/Soybean White, Soyabean/Soybean/: Crude, Soybean, Soybean (Green/Fresh), Soybean Whole, Soybean/soyabean oil"
