Company Name,Certification ID,Location,Email,Address,Certifying Agency,Valid From,Valid To,Products
BERIWALI AGRIABLE LLP Certified,ORG-2303-000729,Balangir,beriwaliagriable@gmail.com,"PLOT NO. 1131, KURLLI, CHAULSUKHA, Balangir, Odisha",NPOP,validfrom 09/05/2024,07/05/2025,"Non-Basmati Paddy, Raw Cotton"
Bhagyalaxmi Organic Private Limited Certified,ORG-2211-003960,Kalahandi,bhagyalaxmiorganicp@gmail.com,"At-Karlabhadi, PO-Laitara,Tehsil-Kesinga, Kalahandi, Odisha",NPOP,validfrom 09/12/2023,08/12/2024,Raw Cotton
BIMALA FOOD PRODUCTS Certified,ORG-2403-000547,Kalahandi,bimalafoodproducts32@gmail.com,"BELAMAL, Kalahandi, Odisha",NPOP,validfrom 15/03/2024,14/03/2025,"Basmati Paddy, Basmati Paddy (Type 3), Basmati rice-brown, Basmati rice-white, Non Basmati Paddy (Sarbati), Non-Basmati Rice, ORGANIC BROWN TRADITIONAL BASMATI RICE, ORGANIC WHITE TRADITIONAL BASMATI RICE, Paddy traditional basmati, Paddy-Sona Masuri, Parboiled Rice, Rice bran, Rice-Sona Masuri"
BIMALA FOOD PRODUCTS Certified,ORG-2403-000548,Kalahandi,bimalafoodproducts32@gmail.com,"AT-BELAMAL, Kalahandi, Odisha",NPOP,validfrom 15/03/2024,14/03/2025,"Non-Basmati Paddy, Raw Cotton"
Biswal Fertilisers Certified,ORG-2211-003962,Kalahandi,biswalfertilizer789@gmail.com,"At post -Kundabandh,Taluka-Kesinga, Kalahandi, Odisha",NPOP,validfrom 08/12/2023,07/12/2024,Raw Cotton
Dwarkapuri Textiles Private Limited Certified,ORG-2211-003971,Kalahandi,kesingaprime@gmail.com,"Plot No. 591, 593-597, Infront of Dronacharya School, Chicharla, Kesinga-Bhawanipatana Road,Tehsil- Kesinga, Kalahandi, Odisha",NPOP,validfrom 07/01/2024,06/01/2025,Raw Cotton
FARMERS UNITED HOUSE Certified,ORG-2110-006100,Balangir,farmersunitedhouse@gmail.com,"Khata No 100/181 Plot No 1214/1590 Mouza Dungripali, Balangir, Odisha",NPOP,validfrom 01/01/2024,22/12/2024,Raw Cotton
GEETA COTTON INDUSTRY PRIVATE LIMITED Certified,ORG-2310-002549,Balangir,geetacotton22@gmail.com,"AT/PO- KAPANI, Balangir, Odisha",NPOP,validfrom 07/01/2024,06/01/2025,"Cotton bales, Cotton Seed, Raw Cotton"
Jagannath Fibers LLP Certified,ORG-2208-002664,Kalahandi,jagannathfibersllp@gmail.com,"Plot No-234/1905, 1st Floor, Hill Town, Lane No-5, West Bhawanipatna, Kalahandi, Odisha",NPOP,validfrom 15/09/2023,14/09/2024,Raw Cotton
KASAM (Kandhamal Apex Spices Association for Marketing Certified,ORG-2307-001517,Kandhamal,kasam.organic@gmail.com,"At/po- Bandhagada, Ps-Phiringia, Kandhamal, Odisha",NPOP,validfrom 08/08/2023,07/08/2024,"Amla, Amla dried, Amla powder, Arhar dal (Red gram/Pigeon pea), Arrowroot powder, Basmati rice, Black Pepper, Ginger Powder, Ginger sliced (dried), Ginger TBC, Haritaki powder, Haritaki/Harad(Terminalia chebula), Red Rice, Tamarind paste, Tamarind/Imli (T.indica), Triphala, Turmeric fingers, Turmeric Fresh, Turmeric Powder"
MAA CASHEW INDUSTRY Certified,ORG-2006-001111,Ganjam,saroj.kumar@naturebiofoods.organic,"Angargaon Via-Sumandala, Kodala,, Ganjam, Odisha",NPOP,validfrom 11/10/2023,04/10/2024,"cashew kernels (w180), cashew kernels (w210), cashew kernels (w240), Cashew Kernels LWP, Cashew Kernels Wholes 320, Cashew Kernels Wholes 450, Cashew Whole"
