Company Name,Certification ID,Location,Email,Address,Certifying Agency,Valid From,Valid To,Products
AMBE PHYTOEXTRACTS PVT LTD. Certified,ORG-2307-001524,Pauri Garhwal,anupamtyagi@ambe-group.com,"VILLAGE- JAMRIYA,P.O.- SILLI,BLOCK -, Pauri Garhwal, Uttarakhand",NPOP,validfrom 13/10/2023,12/10/2024,"Amla Juice Powder, Aonla/Amla Extract, Ashwagandha Extract, Ashwagandha Powder, Ashwagandha Root Extract, Ashwagandha Root Powder, Bacopa Extract, Bacopa monnieri Extract/powder, Beet root Juice Powder, Brahmi extracts/Bacopa monnieri, Brahmi-Bacopa monnieri- extract, Chilli powder, Curcuma longa extract, Curcumin (Curcuminoids), Kalmegh powder (Andrographis paniculata), Kalmegh(Andrographis penniculata)- extract, Moringa oleifera leaves extract, Pineapple Juice Powder, Sahjan(Moringa oleifera (Extract), Turmeric Dried, Turmeric Powder"
Assav Sustainable Pvt Ltd. Certified,ORG-2309-002366,Dehradun,rawatarvind@yahoo.com,"Khasra No. 1867, Village Buddhi, Prgana Pichwadoon, Shimla Bye Pass,, Dehradun, Uttarakhand",NPOP,validfrom 30/10/2023,29/10/2024,"Ajwain, Almond, Amaranth Flour, Arhar dal (Red gram/Pigeon pea), Asafoetida, Bajra flour/ Atta, Basil seeds, Basmati rice, Bay leaves/Tejpatta, Black Mustard Seed, Black Pepper, Black Pepper Powder, Brown gram/Gram/Chana (Cicer arietinum), Cardamom, Cardamom Large (Black), chana Dal, Chia, Chickpea/Kabuli Chana (garbanzos), Chilli powder, Chitra Kidney beans/Rajma (Phaseolus vulgaris), Cinnamon, Cinnamon (Powder), Cloves, Coconut oil, Coriander, Coriander Powder, Cowpea, Cumin Powder, Cumin whole, Fennel/saunf, Fenugreek, Flax Seed, Foxtail Millet, Garam Masala, Garlic Powder, Ginger Powder, Gram Flour/Besan, Green gram split yellow/Moong dal-yellow, Green Gram Whole (Moong Sabut), Groundnut/Peanut oil (Edible grade), Jaggery, Jaggery powder, Jowar flour, Khandasari sugar, Kodo/Kodon Millet, Lentil dal, Little millet, Maida, Mango Powder/ Aamchur, Masoor Dal, Masur/Masoor dhuli, Millet, Moong Dal-Split with shell, Mustard Oil (crude), Nutmeg Powder, Poha / Chivda, Processed Wild/Forest Honey, Pumpkin Seeds, Quinoa, Ragi Flour, Raisins/Kismis, Raw Cashewnut Kernels, Red Chilli (whole), Red Kidney beans/Rajma (Phaseolus vulgaris), Rice Sonamasuri Brown, Rice-Sona Masuri, Sawan/Barnyard Millet, Sesame Oil/Gingelly Oil, Sesame/Sesamum, Sugar, Sugar (Brown/Natural), Suji/Semolina/ Cream of Wheat, Sunflower oil: edible grade, Sunflower seeds: Of seed quality, Tamarind/Imli (T.indica), Turmeric Powder, Urad Dal-Spilt with Shell, Urad Dal-Split without Shell, Urad dal/Split Black gram, Urad dhuli, Urad Whole(black), Virgin coconut oil, walnut, Water Melon Seeds, Wheat flour, White Pepper"
Champawat Tea Factory Certified,ORG-1310-001037,Champawat,managercptea@gmail.com,"Vill: Kharakkarki Tanakpur Road Distt-Champawat, Champawat, Uttarakhand",NPOP,validfrom 03/10/2023,02/10/2024,"Orthodox Black Tea, White tea"
Deerghayu Himalayan Organics Private Limited Certified,ORG-2108-004145,Almora,kuldeepcss569@gmail.com,"Village- Talla Vishuwa, Almora, Uttarakhand",NPOP,validfrom 26/02/2024,29/11/2024,"Amaranth seed/ Ram dhana, Apple, Basil/Tulsi, Basmati rice, Black Gram De-husked, Black gram/Urd (Vigna sp.), Cabbage, Chamomile (M.chamomile), Chitra Kidney beans/Rajma (Phaseolus vulgaris), Coriander Leaf Dehydrated, Coriander Powder, Cowpea/Lobia whole(V.unguiculata/sinensis), Fenugreek, Fenugreek Powder (Methi Powder), Garlic Pickle, Garlic Powder, Ginger Pickle, Ginger Powder, Green Chilli Pickle, Jakhiya (Coleum viscocum), Kiwi fruit fresh, lemongrass dried, Mango Pickle, Mint Powder, Ragi/Finger Millet grain, Red Chilli (whole), Red Chilli Flakes, Red Chilli pickle, Red Chilli Powder, Red Rice, Rosemary, Soyabean/Soybean Black (bhat), Turmeric Powder, Yellow Chilli Powder"
Deltaspharma India Private Limited Certified,ORG-2002-000304,Hardwar,milan.jain@deltaspharma.com,"F-50, 52, Hardwar, Uttarakhand",NPOP,validfrom 16/08/2023,26/05/2024,"Acacia arabica powder, Acacia catechu Powder, Achyranthes aspera (Apamarg), Achyranthes aspera powder, Ajwain Powder, Allium ursinum/Wild garlic, Amla powder, Arjun powder (Terminalia arjuna), Ashoka powder, Ashwagandha Powder, Asparagus racemosus Powder, Bala powder, Bel Powder, Berberis Aristata(Daru Haldi), Bhoomi Amla Powder, Black Pepper Powder, Chitrak Powder(Plumbago zeylanica), Convolvulus pluricaulis Powder, Curcuma Powder, curry powder, Cyperus rotundus/Musta powder, Daruharidra (Berberis aristata) Powder, Eclipta alba Powder, Ficus Religiosa, Garlic Powder, Ginger Powder, Gokshura powder-tribulus terrestris, Holarrhena antidysenterica (Kutaj), Kalmegh powder (Andrographis paniculata), Kalmegh(Andrographis penniculata), Kutaj (Holarrhena Antidysenteria) Powder, Lemon Powder, Mango Powder/ Aamchur, Manjistha/Rubia cordifolia Powder, Marod Fali (Heliceterus Isora) powder, Marodphali (Helicteres isora), Neem leaves powder, Neem powder, Pipal (Ficus Religiosa) Powder, Pippali powder-Piper longum, Pongamia glabra powder, Ricinus communis Powder, Safed Musli powder, Shikakai powder, Sida cordifolia Powder, Solanum nigrum Powder, Tejpatra Powder, Tephrosia purpurea Powder, Terminalia chebula Powder, Tinospora cordifolia (Guruchi), Tinospora cordifolia Powder, Tulsi Powder, Vibhitaki Powder, Vidanga Powder, Vidarikanda (ipomoea digitata) Powder, Yashtimadhu (Glycyrrhiza glabra) Powder"
DEVBHOMI AGRO ORGANIC FOODS PRIVATE LIMITED Certified,ORG-2308-002043,Hardwar,info@devbhomiagroorganicfoods.com,"Khashra no.679, Alampur Kotwal , Jhabrera, Hardwar, Uttarakhand",NPOP,validfrom 14/09/2023,13/09/2024,"Ajwain, Almond, Amaranth seed/ Ram dhana, Amla, Ashwagandha, Bajra (seed quality), Barley whole, Basil/Tulsi, Basmati Paddy, Basmati Paddy (Pusa 1121), Basmati rice, Basmati Rice - Brown (Taraori), Basmati Rice - White (Pusa - 1121), Bay Leaf, Black Mustard Seed, Black Pepper, Brown mustard, Brown Rice, Buck wheat (seed quality), Cane jaggery, Cane molasses, Cane Sugar, Cardamom Large (Black), Cardamom small (Seeds), cashew kernels (w240), cashew kernels (w320), Cashew Whole, Cashew-Split, Celsus Lemon, Chia, Cinnamon, Clove whole, Cloves, coriander green leaf, Coriander seed/whole, Cumin whole, Dehydrated Ginger, Dried garlic, Fennel Seed, Fennel/saunf, Fenugreek, Flaxseed, Foxtail Millet, Ginger whole (dried), Green chilli dry, Groundnut chikkies, Groundnut Kernals, Groundnut/Peanut, Himalayan Multiflower honey, Jaggery cube, Jaggery liquid, Jaggery powder, Jowar, Khandasari sugar, Kodo/Kodon Millet, Lemon Fresh, Lemon Grass, Mango (fresh), misthans,  mithai,  namkeens,  ready to eat product, Moringa leaves, Neem leaves, Non-Basmati Paddy, Non-Basmati Rice, Oats (Flakes), Palm Jaggery, Palmyra sugar, Pearl Millet/Bajra, Poha / Chivda, Processed Wild/Forest Honey, Pumpkin Seeds, quinoa, Ragi (Finger Millet-seed quality), Red Rice, Rice Sonamasuri Brown, Rice Sonamasuri Hand pound, Rice-Hand Ponded, Rice-Sona Masuri, Sawan/Barnyard Millet, Sesame seeds, Sugar, Sugar (Brown/Natural), Sunflower seeds: Of seed quality, Triphala, Turmeric Dried, Turmeric fingers, Turmeric whole-dried, Vinegar, Water Melon seeds-Dehulled, Wheat, Wheat Porridge/Dalia, White Cane Sugar, Yellow mustard"
Flex Foods Limited Certified,ORG-1003-001091,Dehradun,sgupta@flexfoodsltd.com,"Lal Tappar Industrial Area, Dehradun, Uttarakhand",NPOP,validfrom 10/07/2023,07/07/2024,"AIR DRIED Organic Thyme, AIR DRIED Organic Basil, AIR DRIED Organic Chervil, AIR DRIED Organic Coriander, AIR DRIED Organic Dill, AIR DRIED Organic Marjoram, AIR DRIED Organic Mint, AIR DRIED Organic Oregano, AIR DRIED Organic Parsley, Amaranth seed/ Ram dhana, Amaranth/Amaranthus/Thotakura, Barley Grass Powder, Beet root, Bengal Gram Whole, Bengal Gram(Chana)Flour, Black Pepper, Black Pepper Powder, Brown Rice, Brown Rice flour, Buck wheat (seed quality), Buckwheat (other than seed), Chickpea/Kabuli Chana (garbanzos), Cinnamon, Cinnamon (Powder), Curry leaf/leaves, FREEZE DRIED Organic Basil, FREEZE DRIED Organic Chervil, FREEZE DRIED Organic Coriander, FREEZE DRIED Organic Dill, FREEZE DRIED Organic Marjoram, FREEZE DRIED Organic Mint, FREEZE DRIED Organic Oregano, FREEZE DRIED Organic Parsley, FREEZE DRIED Organic Thyme, Garlic, Garlic Powder, Ginger Powder, Ginger whole (dried), Green Gram Whole (Moong Sabut), INDIVIDUALLY QUICK FROZEN Organic Thyme, INDIVIDUALLY QUICK FROZEN Organic Basil, INDIVIDUALLY QUICK FROZEN Organic Chervil, INDIVIDUALLY QUICK FROZEN Organic Coriander, INDIVIDUALLY QUICK FROZEN Organic Dill, INDIVIDUALLY QUICK FROZEN Organic Marjoram, INDIVIDUALLY QUICK FROZEN Organic Mint, INDIVIDUALLY QUICK FROZEN Organic Oregano, INDIVIDUALLY QUICK FROZEN Organic Parsley, Maize Grain, Maize/Corn flour, Mint/Mentha, Non-Basmati Rice, Nutmeg Powder, Nutmeg Whole, Pearl Millet/Bajra, quinoa, Ragi/Finger Millet grain, Red Chilli Powder, Red Lentil, Rocket leaves (Eruca Sativa), Sage (Salvia Sclarea), Savory, Sorghum, Sorghum Grain, Spearmint leaves, Spring onion, Turmeric Dried, Turmeric Powder, Wheat Grass Juice Powder"
FOODSBAY INDIA Certified,ORG-1908-001927,Nainital,amit@earthyfoods.net,"Village-Ratanpur,Kaladhungi Road,, Nainital, Uttarakhand",NPOP,validfrom 13/08/2023,12/08/2024,"All spice powder, Black Mustard Oil, Cane Sugar, Chana Masala, Chat masala, Chicken Masala, Coconut oil, Dilli Rajma Masala, Garam Masala, Garlic Pickle, Ginger Pickle, Green Chilli Pickle, Groundnut/Peanut oil (Edible grade), Jaggery, Jaggery powder, Lemon Pickle, Lemon pickle sweet, Mango Pickle, Meat Masala, Mix Pickle, Mixed veg pickle, Mumbai Pau Bhaji Masala, Mustard Oil (crude), Processed Wild/Forest Honey, Raw Honey, Raw Wild/Forest Honey, Sabji Masala, Sambar Mix/ Sambar Powder, Sesame Seed - Oil, Sugar (Brown/Natural), Sunflower oil: edible grade, Vegetables (mixture)-(Preserved other than by vinegar or acetic acid,  not frozen)"
Foster Certifications Private Limited Certified,PGSI/NC(UK)-1997,Dehradun,fostercertifications@gmail.com,,PGS India,validfrom 30/11/-0001,30/01/2020,
Ghorakhal Tea Factory Certified,ORG-1809-001772,Nainital,manager.gkltea@rediffmail.com,"Vill:Shyamkhet P.O.Bhowali Distt:Nainital Pin 263131, Nainital, Uttarakhand",NPOP,validfrom 18/12/2023,17/12/2024,Orthodox Black Tea
