Company Name,Certification ID,Location,Email,Address,Certifying Agency,Valid From,Valid To,Products,Scraped Timestamp
Arin Tea Pvt Ltd-Pabhojan Tea Estate Factory Certified,ORG-1611-001897,Golaghat,pabhojanteaestate@gmail.com,"Borpathar P.O, Golaghat, Assam",NPOP,validfrom 25/11/2023,24/11/2024,"Butterfly pea (Clitoria ternatea)-fresh, CTC, Green Tea, Organic Green Tea, Orthodox Black Tea, Speciality tea-golden tips, Speciality tea-Oolong, Speciality tea-White tea",2025-03-08T10:23:41.670404
ASSAMICA AGRO PVT LTD Certified,ORG-1608-001348,Sonitpur,info@assamicaagro.com,"PRAJAPATHER, Sonitpur, Assam",NPOP,validfrom 19/12/2023,22/09/2024,"Assam Tea, Basil/Tulsi, Bay Leaf, Black Pepper, Black Tea, Butterfly pea (Clitoria ternatea)-fresh, Chamomile (M.chamomile), Chamomile? Flavoured Green Tea, CTC Tea, Ginger Black Tea, Ginger Green Tea, Ginger whole (dried), Green Tea, Green Tea With Mint, Hibiscus, Hibiscus Sabdariffa, Lemon Grass Flavoured Green Tea, Lemon Grass Flavoured Green Tea, lemongrass dried, Masala Chai, Mint/Mentha, OOLONG, Organic Green Tea, Orthodox Black Tea, Orthodox Tea, Rose, Tulsi Green Tea, White tea",2025-03-08T10:23:41.670755
BANASPATY TEA AND INDUSTRIES (P) LTD. Certified,ORG-1406-000851,Karbi Anglong,praveen@teapromoters.in,"Banaspaty Tea Estate,, Karbi Anglong, Assam",NPOP,validfrom 10/06/2023,09/06/2024,"Black Tea, Organic Black Tea",2025-03-08T10:23:41.671046
BHUBRIGHAT TEA CO PRIVATE LIMITED Certified,ORG-1811-002382,Karimganj,co@bagariagroup.com,,NPOP,validfrom 04/12/2023,03/12/2024,"CTC Tea, Orthodox Tea",2025-03-08T10:23:41.671328
Deha Assam Tea CO. (P) LTD Certified,ORG-1209-000854,Jorhat,dehadib@yahoo.com,"Deha Tea Estate P.O Jorhat, Jorhat, Assam",NPOP,validfrom 08/11/2023,07/10/2024,"Chamomile Flavoured Green Tea, CTC Tea, Ginger Black Tea, Green Tea, Green Tea With Mint, Jasmine Green Tea (Natural Flavour), Lemon Grass Flavoured Green Tea, Masala black tea, Moringa Green Tea, OOLONG, Orthodox Black Tea, Rose Tea, Tulsi Green Tea",2025-03-08T10:23:41.671605
ETHELWOLD ESTATE PRIVATE LIMITED Certified,ORG-1810-001962,Dibrugarh,ethelwoldte@gmail.com,"Ethelwold Tea Estate, Dibrugarh, Assam",NPOP,validfrom 27/12/2023,09/12/2024,"CTC Tea, Orthodox Black Tea",2025-03-08T10:23:41.671884
Hathikuli Tea Estate Certified,ORG-1404-000485,Golaghat,shwethakr@imocontrol.in,"Registered Office: Unit No. 302A, 3rd Floor, Elgin Chambers 1A, Ashutosh Mukherjee Road, KOLKATA, West Bengal, India, 700020, Golaghat, Assam",NPOP,validfrom 25/03/2024,24/03/2025,"Black Pepper, CTC Tea, Organic Green Tea, Orthodox Tea",2025-03-08T10:23:41.672158
JALANNAGAR DEVELOPMENT PRIVATE LIMITED Certified,ORG-1602-000250,Tinsukia,avantika@jalanindustries.com,"Chota Tingrai Tea Estate, Tinsukia, Assam",NPOP,validfrom 13/05/2024,17/02/2025,"Black Tea, Green Tea",2025-03-08T10:23:41.672428
JALINGA TEA COMPANY (I) PVT LTD Certified,ORG-1303-000214,Cachar,kkp001@gmail.com,"West Jalinga T.E, Cachar, Assam",NPOP,validfrom 16/03/2024,03/03/2025,"Acacia arabica (Babul), Annona muricata L.(Soursoup), Black Pepper, Black Tea, Chamomile (M.chamomile), Chrysanthemum Dried Flower, Citronella, Clitoria ternatea L.(Sankupushpi), CTC Tea, English Breakfast Tea, Ginger (Dried, unbleached), Green pepper (dehydrated), Green Tea, Jasmine Dried Flower, Lemon Grass, Non Basmati Paddy (Parimal), OOLONG, Organic Black Tea, Organic Green Tea, Orthodox Black Tea, Roselle/Hibiscus sabdariffa, Turmeric Dried, White tea",2025-03-08T10:23:41.672695
Jeev Anksh Eco Products Pvt. Ltd. Certified,ORG-1808-001611,Kamrup,sampark@jeevanksh.com,"Brahma Kutir, Navagiri Path, Kamrup, Assam",NPOP,validfrom 18/09/2023,10/09/2024,"AIR DRIED Organic Rosemary, Ajwain, Ajwain Powder, Ajwain/Bishop Weed seed, Alfalfa, Alfalfa powder, All spice powder, Almond, Almond oil, Aloe Vera Gel, Aloe Vera leaves, Aloe Vera Powder, Alphonso Mango, Amaranth Flour, Amaranth seed/ Ram dhana, Amla dried, Amla dried deseeded, Amla powder, Amla TBC, Amla whole dried, Anantmool (Hemidesmus indicus), Apple Juice (Brix < 20), Apricots, Arecanut (Split), Arecanut (Whole), Arecanut Dry, Arhar, Arhar dal (Red gram/Pigeon pea), Arjun bark, Arjun powder (Terminalia arjuna), Arrow Root, Arrow root powder, Asafoetida powder, Ashok (Saraca Indica), Ashoka powder, Ashwagandha, Ashwagandha Leaf, Ashwagandha Powder, Ashwagandha root, Ashwagandha Root Powder, Ashwagandha TBC, Asparagus racemosus (Shatawar), Asparagus racemosus (Shatawari) TBC, Asparagus racemosus Powder, Assam Special Tea, Assam Tea, Bacopa monnieri (Neera Brahmi), Bajra flour/ Atta, Barley (of seed quality), Barley Flour, Barley Grass Powder, Barley Porridge/Dalia, Barley whole, Barley- Dehulled, Barleygrass, Basil seeds, Basil/Tulsi, Basmati Paddy, Basmati rice, Basmati Rice - White (Pusa - 1121), Basmati rice-brown, Basmati rice-white, Bay Leaf, Bay leaf powder, Bay leaves/Tejpatta, Beet Root powder, Bel Powder, Bel/Bael/Aegle marmelos, Bengal Gram Whole, Bengal Gram(Chana)Flour, Bhoomi Amla Powder, Black Cumin Powder, Black Gram Flour, black gram split white, black gram white whole, Black gram/Urd (Vigna sp.), Black Matpe (Black Urad Dal), Black Mustard Oil, Black Pepper, Black pepper (garbled), Black pepper (light black), Black pepper (ungarbled), Black pepper crushed, Black Pepper Powder, Black pepper TBC, Black Sesame/Sesamum, Black Tea, Blueberry, Brahmi Powder, Brahmi/Bacopa monnieri, Brahmi/Bacopa monnieri Powder, Broccoli, Broken rice, Brown gram/Gram/Chana (Cicer arietinum), Brown mustard, Brown Rice, Buchanania lanzan Spreng (Cheerojee), Buck wheat (seed quality), Buckwheat (other than seed), Buckwheat Flour, Buckwheat- Dehulled, Cardamom, Cardamom Large (Black), Cardamom Powder, Cardamom seed, Cardamom TBC, Carrot Dehydrated, Cashew kernel (Shelled whole), Cashew nut (In shell), Cassia, Castor Oil (Edible grade), Celery, Celery Powder, Celery Seed, Centella asciatica Powder, Centella asiatica, Chamomile (M.chamomile), Chamomile powder, chana Dal, Chana Masala, Chat masala, Chia, Chickpea/Kabuli Chana (garbanzos), Chicory, Chicory Root Powder, Chicory roots, Chicory TBC, Chilli Flakes-bird eye, Chilli powder, Chilli Powder-bird eye, Chilli whole (dry), Chilli-Bird eye, Chitra Kidney beans/Rajma (Phaseolus vulgaris), Cinnamon, Cinnamon (Powder), Cinnamon bark, Cinnamon dried, Cinnamon Leaves, Cinnamon TBC, Clove powder, Clove TBC, Clove whole, Cloves, Cocoa powder (without sugar/sweetening matter), Coconut flakes, Coconut oil, Coconut powder/dried coconut powder, Coffee beans-Arabica, Coffee beans-Robusta, Coffee Powder, Coleus, Coleus Powder/extract, Convolvulus pluricaulis (Shankpushpi), Coriander, Coriander (other than seed), Coriander Leaf Dehydrated, Coriander Powder, Coriander seed/whole, Coriander TBC, Country fig, Cowpea, Cowpea split, Cowpea/Lobia whole(V.unguiculata/sinensis), CTC Tea, CTC Tea- BOP, Cumin (Black -seed quality), Cumin Powder, Cumin seed, Cumin whole, Curry Leaf powder, Curry Leaf TBC, Curry leaf/leaves, Cyperus rotundus (Nagarmootha), Cyperus rotundus/Musta powder, Dates-Hard (chhohara), Dehydrated Bitter Gourd, Dehydrated Garlic Flakes, Dehydrated Ginger Powder, Dehydrated Mango, Dehydrated Onion, Dehydrated Pink/Red Onion Flakes, Dehydrated Tamarind Powder, Dill (Anethum graveolens), Dill Seed (Aowa), Dried Cardamom, Dried Clove, Dried Cocoa Beans, Dried Curry leaves, Dried mango slices, Dry Marigold Petals, Dry rose petals-Rose, Dry Rosella Flower, Dry/Dehydrated Coriander leaves, Dry/Dehydrated fenugreek leaves, Eclipta alba (Bhrigjraj/Bhringraj), Eclipta alba Powder, Emblica Officinalis(Amla/Indian Gooseberry), Eucalyptus, Eucalyptus citriodora Powder, Eucalyptus leaves, Fennel Powder, Fennel Seed, Fennel tea bag cut, Fennel/saunf, Fenugreek, Fenugreek Powder (Methi Powder), Fenugreek Seed (Methi Seed), Fenugreek TBC, Finger millet flour, Flattened Rice, Flax seed powder, Flaxseed, Foxtail Millet, Frankincense-Boswellia sereta-powder, Freeze Dried Ginger, Freeze dried Green Pepper, Freeze Dried Mango, Freeze dried red pepper, Fruit vinegar, Galangal Powder, Galangal roots, Galangal TBC, Garam Masala, Garcinia cambogia powder, Garlic, Garlic Dehydrated, Garlic flakes, Garlic Granules, Garlic paste, Garlic Powder, Ghost Chilly - Bhut Jalokia Chilly, Giloy Powder, Ginger (1) extract powder, Ginger (Dried, bleached), Ginger (Dried, unbleached), Ginger chips, ginger CO2 extract, Ginger Flakes, Ginger Fresh, Ginger paste, Ginger Powder, Ginger sliced (dried), Ginger TBC, Ginger TBC CO2 processed, Ginger whole, Ginger whole (dried), Glycyrrhiza, Gokshura Fruit (Tribulus terrestris), Gokshura powder-tribulus terrestris, Gokshura TBC, Gotukola TBC-Centella asiatica-, Gram Flour/Besan, Green Cardamom, Green Cardamom (Bulk), Green Cardamom Powder, Green Chilli Flakes, Green chilli fresh, Green Coffee Beans, Green Gram Flour, Green gram split yellow/Moong dal-yellow, Green Gram Whole (Moong Sabut), Green gram/chana/Moong (Vigna sp.), Green gram/Moong dhuli, Green Moong Dal, Green peas, Green pepper (dehydrated), Green Tea, Green Tea Leaves, Groundnut/Peanut, Groundnut/Peanut oil (Edible grade), Guar gum powder, Guar Seeds, Guduchi (Tinospora Cordifolons), Gymnema powder, Gymnema Sylvestre (Leaves), Haritaki powder, Haritaki/Harad(Terminalia chebula), Heena /Mehendi, Henna Powder, Herbal tea, Hibiscus, Hibiscus leaf, Hibiscus petal/tea bag cut, Hibiscus rosasinensis powder, Hibiscus Sabdariffa petals Powder, Hibiscus Sabdariffa petals TBC, Hibiscus sabdariffa Powder, Hill Red rice, Holy basil, Hulled Sesame/Sesamum, Indian Organic Basmati Rice, Indian Organic Brown Basmati Rice, Indigo Powder, Indigofera tinctoria, Jaggery, Jaggery powder, Jamun patrai-Eugenia jambalana, Jamun Seed powder, Jatamanasi, Jatamansi (Nardostachys jatamansi), Kabuli Chana, Kalmegh powder (Andrographis paniculata), Kalmegh(Andrographis penniculata), Kalonji/nigella, Kasuri methi, Khandasari sugar, Kinnow/Mandarin Orange Fresh, Kodo/Kodon Millet, Kokum/Garcinia/Mangosteen, Krishna tulsi (Ocimum sanctum), Krishna Tulsi Powder-Ocimum basilicum, Krishna Tulsi TBC-Ocimum basilicum, Lavender flower, Lavender powder, Lemon Dried, Lemon Fresh, Lemon grass root powder, Lemon grass TBC, Lemon peel dried, lemon peel powder, Lemon Peel TBC, Lemon Powder, Lemongrass, lemongrass dried, Lentil, Lentil dal, Liquorice powder, Liquorice roots, Liquorice TBC, Liquorice/Jesta Madhu, Little millet, Lotus flowers dried, Mace, Mace Powder, Maida, Maize (Corn) Flake, Maize (Corn-other than seed), Maize (Corn-Seed Quality), Maize/Corn flour, Malka Whole, Mandukapami-Centella asiatica, Mango (fresh), Mango Powder/ Aamchur, Manjista TBC, Manjistha/Rubia cordifolia, Manjistha/Rubia cordifolia Powder, Masoor (Lens Culinaris), Masoor Dal, Masoor Dal-Split with out Shell, Masur/Masoor dhuli, Matki/Moth Bean, Medicinal fruits, leaves, powder, flowers and pod, Minced Garlic, Minced Ginger, Mint Leaves Dehydrated, Mint Powder, Mint/Mentha/Pudina, Mix Dal, Moong dal-Split, Moong Dal-Split with shell, Moong Dal-Split with shell, Moringa Powder, Moringa Tea, Moringa dried leaves, Moringa leaves, Moringa Oil, Moringa seed, moth dal, Moth Dhuli, Mucuna pruriens (Mucuna), Mucuna pruriens Powder, Multi grain Atta, Musk Melon Seeds - Dehulled, Muskmelon seeds, Mustard, Mustard - Black, Mustard oil (aroma/E. Oil), Mustard Oil (Refined), Mustard Seeds-Spice, Mustard small, Natural Indigo, Neem bark, Neem leaves, Neem leaves powder, Neem oil, Neem powder, Non-Basmati Paddy, Non-Basmati Rice, Nutmeg (Shelled), Nutmeg Cracked halves, Nutmeg mace (dried), Nutmeg Powder, Nutmeg tea bag cut, Nutmeg Whole, Oat flour, Oats (Other than seed/grain), Oats (seed/grains), Olive Oil Virgin, Onion, Onion (Powder), Onion Chopped, Onion flakes, Onion Granules, Onion Minced, Orange, Orange Peel, Orange peel powder/extract, Oregano, Oregano leaves, Organic Broken Rice, ORGANIC BROWN PUSA BASMATI RICE, ORGANIC BROWN TRADITIONAL BASMATI RICE, Organic saffron Powder, ORGANIC WHITE PUSA BASMATI RICE, ORGANIC WHITE TRADITIONAL BASMATI RICE, Orthodox Black Tea, Papaya (C.papaya), Papaya leaves (C.papaya), Papaya leaves powder, Paprika (Capsicum annuum), Parboiled Rice, Parsley, Pea- Dried, Pearl Millet/Bajra, Pepper long/Pippali (Piper longum), Pepper pinheads, Peppermint, Peppermint leaf/ tea bag cut, Pigeon pea/arhar whole, Pistachios, Poha Flattened Rice, Pomegranate dried seeds, Pomegranate Dry Peel, Pomegranate seed powder, pomegranate seeds/anardana, Poppy seeds, Proso millet, Psyllium husk (isobgul), Psyllium husk powder, Psyllium seed (isobgul), Psyllium seed powder, Puffed Rice brown, Pumpkin Seeds, Punarnava powder, Punarnava root, Punarnava TBC, Quinoa, Ragi (Finger Millet- other than seed), Ragi/Finger Millet grain, Raisins/Kismis, Rama Tulsi powder-Ocimum sanctum, Rama Tulsi TBC-Ocimum sanctum, Rama Tulsi-Ocimum sanctum, Rauwolfia/R.serpentina (Sarpgandha), Red Chilli (whole), Red Chilli Flakes, Red Chilli Powder, Red Flattened Rice, Red Kidney beans/Rajma (Phaseolus vulgaris), Red Lentil, Red Rice, Red Rice Paddy, Red rose, Rice Flour, Rice Puffed, Rice Sonamasuri Brown, Rice-Sona Masuri, Roasted Chicory, Roasted chicory granules, Rose Dried Flower, Rose Petal TBC, Rose petals powder, Roselle/Hibiscus sabdariffa, Rosemary, Rosemary powder, Safed Musli powder, Safed Musli/Chlorophytum borivilianum, Safflower seeds: Of seed quality, Saffron, Sage (Salvia Sclarea), Sapindus laurifolius Vahl (Soap nut), Sapindus mukorossi (Reetha), Sawan/Barnyard Millet, Senna leaves, Senna Leaves Powder, Senna Leaves Tea Bag Cut (TBC), Senna pods, Senna Pods Powder, Sesame Oil/Gingelly Oil, Sesame seeds, Shatavari, Shatavari powder, Shikakai, Shikakai powder, Soap nut without Seed, Soap Nut/Reetha ( pieces/broken), Soap Nut/Reetha ( Powder), Soap Nut/Reetha (Nuts), Soap Nut/Reetha (Seeds), Sorghum, Sorghum Flour, Soyabean/Soybean Black, Soyabean/Soybean Flour, Soyabean/Soybean White, soybean/soyabean crushed, Spearmint - Mentha spicata- TBC, Spearmint leaves, Spearmint Powder, Special Turmeric Powder, Split Chickpea/Kabuli Chana (garbanzos), Split Gram/Chana (Cicer arietinum), Split Green gram/Moong (Vigna sp.), Split Lentil, Split Pea Pulse (Pisum sativum), Split Pigeon pea/arhar/Red gram, Star anise, Stevia, Stevia leaves-dried, Stevia/Stevia rebaudiana powder, Strawberries/Strawberry seeds, Strawberry pieces (dried), Sugar, Sugar (Brown/Natural), Suji/Semolina/ Cream of Wheat, Sunflower oil: edible grade, Sunflower Seed Oil, Sunflower Seeds- Dehulled, Sweet basil, Tamarind paste, Tamarind Powder (Imli), Tamarind/Imli (T.indica), Tapioca, Terminalia arjuna, Terminalia bellirica powder, Terminalia bellirica/baheda, Terminalia chebula Powder, Thymes, Trikatu powder, Triphala Powder, Tulsi leaves dry, Tulsi leaves powder, Tulsi TBC/Tulsi TBC Blend, Turmeric fingers, Turmeric flakes, Turmeric Fresh Rhizomes, Turmeric Powder, Turmeric slice dried, Turmeric TBC, Turmeric whole-dried, Urad (phasleolus mungo) Black gram, Urad Dal Black Split, Urad Dal Split, Urad Dal-Spilt with Shell, Urad Dal-Split without Shell, Urad dal-Whole(White), Urad dal/Split Black gram, Urad dhuli, Urad Whole(black), Valerian roots, Valerian/Valeriana wallichii, Vana tulsi TBC-Ocimum gratissimum, Vanilla (cured), Vanilla Pod, Vanilla Powder, Vanilla TBC, Vidanga Powder, Vinegar, Virgin coconut oil, walnut, Walnuts: Shelled, Water Melon Seeds, Water Melon seeds-Dehulled, Wheat, Wheat flour, Wheat Grain Regular, Wheat Maida, Wheat Porridge/Dalia (Roasted), Wheatgrass, Wheatgrass powder, White Cane Sugar, White flattened Rice, White Kidney beans/Rajma (Phaseolus vulgaris), White Pepper, White Pepper powder, White Rice flour, White Sesame/Sesame, White Sesame/Sesame-seed quality, Wild Honey, Yellow lentil, Yellow mustard, Yellow Mustard Powder/ ground, Yellow Split peas (pisum satisvum), Zucchini",2025-03-08T10:23:41.672998
KESAR COMERCIAL PVT. LTD. CHARDWAR T.E. Certified,ORG-1609-001497,Sonitpur,tpi@teapromoters.in,"Kalakuchi Dhekiajuli, Sonitpur, Assam",NPOP,validfrom 28/09/2023,27/09/2024,"CTC Tea, Organic Black Tea, Organic Green Tea",2025-03-08T10:23:43.406197
MKB (ASIA) PVT LTD Certified,ORG-2110-006124,Kamrup,directormkbasia@gmail.com,"Rani Tea Estate Factory, Kamrup, Assam",NPOP,validfrom 18/10/2023,17/10/2024,Organic Black Tea,2025-03-08T10:23:43.406569
RULOI TEA TRADING PVT LTD Certified,ORG-2305-001042,Darrang,bijitsarma09999@gmail.com,"SRD BAKERS, CHAMUA PARA(SALOI PARA), CHAPAI, Darrang, Assam",NPOP,validfrom 30/05/2023,29/05/2024,"Black Tea, CTC Tea, Green Tea, White tea",2025-03-08T10:23:43.406901
"SATRUPA TEA FACTORY, MKB(ASIA) PVT. LTD. Certified",ORG-1409-001630,Tinsukia,directormkbasia@gmail.com,,NPOP,validfrom 03/11/2023,02/11/2024,"CTC Tea, Organic Green Tea, Orthodox Black Tea, White tea",2025-03-08T10:23:43.407232
SHAKOMATO TEA ESTATE (DARSHANLAL JAGDISHPARSHAD PVT LTD) Certified,ORG-2002-000404,Sonitpur,h.baruah@dljpgroup.com,"PO Biswanath Chariali, Sonitpur, Assam",NPOP,validfrom 02/04/2024,01/04/2025,"Chamomile (M.chamomile), Chia, Serpentina roots (Rauwolfia spp.), Turmeric Dried, Turmeric Powder",2025-03-08T10:23:43.407562
Tonganagaon Tea Estate Factory Certified,ORG-1604-000513,Tinsukia,chamong@snonline.com,"Tonganagaon Tea Co Pvt Ltd, Registered Office: Unit 1, 5th Floor, Sagar Estate, 2 N.C. Dutta Sarani, Kolkata-700001, West Bengal, Tinsukia, Assam",NPOP,validfrom 15/06/2023,14/06/2024,"CTC Tea, Green Tea, Organic Green Tea, Orthodox Black Tea",2025-03-08T10:23:43.407895
