Company Name,Certification ID,Location,Email,Address,Certifying Agency,Valid From,Valid To,Products,Scraped Timestamp
A B & CO Certified,ORG-2312-002992,Ahmedabad,coab10132@gmail.com,"30, Adarsh SOC, Swastik Char Rasta, C G Road, Ahmedabad, Gujarat",NPOP,validfrom 26/02/2024,25/02/2025,Raw Cotton,2025-03-08T10:24:01.946687
A&F DEHY FOODS Certified,ORG-1912-003023,Bhavnagar,afdehyfoods@gmail.com,"Survey No. 49/p near GIDC Estate, Umaniyawadar Mahuva,, Bhavnagar, Gujarat",NPOP,validfrom 19/12/2023,18/12/2024,"Onion, Onion (Powder), Onion flakes",2025-03-08T10:24:01.946997
AATISH AGRO INDUSTRIES Certified,ORG-2312-002942,Patan,organic.aatishagro@gmail.com,"Plot A , Rs No. 249, Nr Khali Char Rasta, Patan Road, Nedra, Patan, Gujarat",NPOP,validfrom 12/01/2024,11/01/2025,"Black Mustard Seed, Chilli whole, coriander seed, Cumin seed, Hulled Sesame/Sesamum, Kalonji/nigella, Mustard Seeds, Psyllium husk (isobgul), Psyllium husk powder, Psyllium seed (isobgul), Sesame seeds, Turmeric Powder, Turmeric whole-dried, Yellow mustard",2025-03-08T10:24:01.947280
Abhyuday Bharat Food Cluster LLP Certified,ORG-2010-002494,Gandhinagar,dr_bagwan@yahoo.com,"C/O Sh. Dhaval Shivkumar Raval 204, IInd Floor, Satyam Complex, Gandhinagar, Gujarat",NPOP,validfrom 01/12/2023,30/11/2024,"Ajwain, Almond, Amaranth Flour, Amla powder, Arhar dal (Red gram/Pigeon pea), Ashwagandha Powder, Bajra flour/ Atta, Barley Flour, Barley whole, Basmati Rice - White (Pusa - 01), Basmati Rice - White (Pusa - 1121), Basmati Rice - White (Taraori), Basmati Rice - White (Type 3), Bay leaves/Tejpatta, Black Pepper, Black Pepper Powder, Black Sesame/Sesamum, Brahmi Powder, Broken wheat, Brown Flaxseed, Brown gram/Gram/Chana (Cicer arietinum), Brown Rice, Cane jaggery, Cane Sugar, Cardamom Large (Black), Cashew Kernel (W340), chana Dal, Chana Masala, Chickpea/Kabuli Chana (garbanzos), Cinnamon bark, Cinnamon bark powder, Clove powder, Cloves, Coconut oil (Crude), Coriander Powder, Coriander seed/whole, Cowpea, Cowpea Red, Cumin Powder, Dehydrated Ginger, Dilli Rajma Masala, Enriched daliya, Fennel Powder, Fennel/saunf, Fenugreek, Fenugreek Powder (Methi Powder), Finger millet flour, Garam Masala, Ginger Basil Tea, Ginger Powder, Gram Flour/Besan, Green Cardamom, Green Gram Whole (Moong Sabut), Groundnut/Peanut oil (Edible grade), Indian Organic Brown Basmati Rice, Indian Super Rice, Jeera/Cumin Concentrate, Kasuri methi, Lentil dal, Mace Powder, Maida, Maize (Corn), Mango Powder/ Aamchur, Masala Tea with Spices, Masoor Dal-Split with out Shell, Mix Dal, Moong Dal, Moong dal (Vigna radiata (Extract), Multi grain Atta, Mumbai Pau Bhaji Masala, Mustard, Neem powder, Pearl Millet/Bajra, Peshawari Biryani Masala, Peshawari Tikka Masala, Poha Flattened Rice, Raisins/Kismis, Raw Honey, Red Chilli Powder, Red Kidney beans/Rajma (Phaseolus vulgaris), Red Rice, Rice Flour, Rosemary, Sabji Masala, Sesame Oil/Gingelly Oil, Sesame seeds, Smoked Black Pepper Whole, Sorghum Flour, Soyabean/Soybean White, Sugar (Brown/Natural), Suji/Semolina/ Cream of Wheat, Tandoori Masala, Triphala Powder, Tulsi Powder, Turmeric Dried, Turmeric Powder, Urad (phasleolus mungo) Black gram, Urad Dal Split, Wheat (W 96), Wheat flour/Atta (Machine Milled)",2025-03-08T10:24:01.947579
ABHYUDAY INDUSTRIES Certified,ORG-2106-003007,Patan,office@abhyudaypsyllium.com,"Khali Char Rasta, Patan, Gujarat",NPOP,validfrom 25/06/2023,24/06/2024,"Psyllium husk (isobgul), Psyllium husk powder, Psyllium seed (isobgul), Psyllium seed powder",2025-03-08T10:24:01.947852
ACROP INTERNATIONAL LLP Certified,ORG-2309-002396,Ahmedabad,organic@acrop.co.in,"NEW SHIVKRUPA TRADING CO., 370/33, NR. KALUPUR BRIDGE, Ahmedabad, Gujarat",NPOP,validfrom 27/01/2024,26/01/2025,"Agra Jaljeera Powder, Ajwain, Ajwain Powder, Ajwain/Bishop Weed seed, Alfalfa, Almond, Almond oil, Almonds without skin IS, Aloe Vera, Aloe Vera Juice, Alphonso Mango, Amaranth Flour, Amaranth roasted, Amaranth seed/ Ram dhana, Amaranth/Amaranthus/Thotakura, Amla, Amla ???Candy, Amla dried, Amla Juice, Amla powder, Amla whole dried, Aonla, Aonla Powder, Apricots, Arhar dal (Red gram/Pigeon pea), Asafoetida, Asafoetida powder, Ashwagandha, Ashwagandha Powder, Ashwagandha root, Ashwagandha Root Powder, Asparagus racemosus (Shatawar), Asparagus racemosus Powder, Asparagus racemosus-root-powder, Bajra flour/ Atta, Bajra porridge/Dalia, Bala powder, Banana dehydrated, Banana Fresh, Barley Flakes, Barley Flour, Barley Porridge/Dalia, Barley whole, Barley- Dehulled, Basil seeds, Basil/Tulsi, Basmati Paddy, Basmati rice, Basmati rice-brown, Basmati rice-white, Bay Leaf, Bay leaf powder, Bay leaves/Tejpatta, Beaten rice, Beet root, Beet Root powder, Bengal Gram Whole, Bengal Gram(Chana)Flour, Bitter Gourd, Black cumin, Black Cumin Powder, Black Gram De-husked, Black Gram Flour, black gram split white, black gram white whole, Black gram/Urd (Vigna sp.), Black Matpe (Black Urad Dal), Black Mustard Oil, Black Mustard Seed, Black Pepper, Black pepper (garbled), Black pepper (light black), Black pepper crushed, Black Pepper Powder, Bottle Gourd, Brahmi Powder, Brahmi/Bacopa monnieri, Brinjal?seeds, Broken rice, Brown gram/Gram/Chana (Cicer arietinum), Brown mustard, Brown Mustard Oil, Brown Rice, Brown rice flakes, Brown Rice flour, Buchanania lanzan Spreng (Cheerojee), Buck wheat (seed quality), Buckwheat Flour, Buckwheat- Dehulled, Cabbage lettuce (head lettuce), Caju Garlic Masala, Cane molasses, Cane Sugar cubes, Canned Food, Cardamom, Cardamom Large (Black), Cardamom Powder, Carrot, Cashenut Classic, Cashew kernel (Shelled whole), cashew kernels (w180), cashew kernels (w210), cashew kernels (w240), cashew kernels (w320), Cashew nut (In shell), Cashew nut (roasted & salted), Cashew nut (roasted), Cashew Nut Chikki, Cashew Whole, Cashew-Split, Castor Oil, Castor Oil (Edible grade), Cauliflower, chana Dal, Chana Masala, Chat masala, Cherry/Cherries, Chia, Chicken Curry Masala, Chicken Masala, Chickpea/Kabuli Chana (garbanzos), Chilli dried, Chilli powder, Chilli whole, Chitkabra rajma himalayan, Chitra Kidney beans/Rajma (Phaseolus vulgaris), Chives (Allium schoenoprasum), Chives Dehydrated, Cinnamon, Cinnamon (Powder), Cinnamon bark, Cinnamon bark fresh, Cinnamon bark powder, Cinnamon Leaves, Cinnamon nice bark, Cinnamon Tamala (Leaves), Cinnamon thick bark, Clove powder, Clove whole, Cloves, Cluster beans/ Guar, Coconut, Coconut (Dried), Coconut Desiccated, Coconut flakes, Coconut oil, Coconut oil cake, Coffee beans, Coffee Cherry-Arabica, Coffee Powder, Coffee Robusta Cherry, Cooked/ roasted/ cracked Corn, Cooked/ roasted/ cracked Linseed, Cooked/ roasted/ cracked Rapeseeds, Coriander, Coriander Leaf Dehydrated, Coriander Powder, coriander seed, Coriander seed/whole, Coriander split, Corn Daliya/ Corn Porridge, Cowpea, Cowpea Red, Cowpea split, Cowpea white dal, Cowpea/Lobia whole(V.unguiculata/sinensis), Cucumber, Cucumber Seeds, Cumin (Black -seed quality), Cumin (Non-Black -seed quality), Cumin Powder, Cumin seed, Cumin whole, Dal masala powder - hot, Dashamoola TBC, Dates-Fresh (excluding wet dates), Dates-Hard (chhohara), Dates-Soft (khayzur or wet dates), Dehulled Foxtail Millet, Dehulled Pearl Millet, Dehulled Sorghum, Dehydrated Bitter Gourd, Dehydrated Curry leaves powder, Dehydrated Garlic Flakes, Dehydrated garlic powder, Dehydrated Ginger Powder, Dehydrated Green / Red Chilly Powder, Dehydrated Mango, Dehydrated onion powder, Dehydrated Orange Flakes, Dehydrated Pineapple, Dehydrated Pink/Red Onion Flakes, Dehydrated Potato Flakes, Dehydrated Tamarind Powder, Dilli Paneer Masala, Dilli Rajma Masala, Dried Cardamom, Dried Clove, Dried Curry leaves, Dried garlic, Dried mango slices, Dried nutmeg shelled, Dried pepper-Green, Dried potato chips, Drum Stick powder, Drumstick, Dry rose petals-Red, Dry/Dehydrated fenugreek leaves, Durum Wheat (seed quality), Eclipta alba (Bhrigjraj/Bhringraj), Egg Masala, extra virgin coconut oil, Fennel (other than seed), Fennel Powder, Fennel Seed, Fennel Seed - Roasted, Fennel/saunf, Fenugreek, Fenugreek Crushed, Fenugreek Powder (Methi Powder), Fenugreek Seed (Methi Seed), Finger millet flour, Flax Seed, Flax Seed oil, Flax seed powder, Flax/Linseed Meal, Flaxseed, Foxtail Millet, Garam Masala, Garam masala powder - medium, Garlic, Garlic Dehydrated, Garlic flakes, Garlic paste, Garlic Powder, Ginger Candy, Ginger Flakes, Ginger Fresh, Ginger paste, Ginger Powder, Ginger sliced (dried), Ginger whole, Ginger whole (dried), Gluten Free Daliya, Gokshura Fruit (Tribulus terrestris), Gram Flour/Besan, Green Cardamom, Green Cardamom (Bulk), Green Cardamom Powder, Green Chana (Gram), Green chilli dry, Green Chilli Flakes, Green chilli fresh, Green Chilli Powder (dry), Green Chilly, Green Gram Flour, Green gram powder/ Moong Dal Powder, Green gram split yellow/Moong dal-yellow, Green Gram Whole (Moong Sabut), Green gram/chana/Moong (Vigna sp.), Green gram/Moong dhuli, Green Moong Dal, Green peas, Green pepper (dehydrated), Green pepper powder, Green Pepper-fresh, Green Pepper/bell pepper, Green Tea, Groundnut chikkies, Groundnut/Peanut, Groundnut/Peanut Oil (Deodorized-Salad Oil)-edible grade, Groundnut/Peanut oil (Edible grade), groundnut/peanut roasted, Guduchi (Tinospora Cordifolons), Horse gram (Macrotyloma uniflorum), Idli Flour/powder, Indian curry leaves, Indian Organic Basmati Rice, Indian Organic Brown Basmati Rice, Jackfruit-Canned, Jaggery, Jaggery cube, Jaggery liquid, Jaggery powder, Jowar, Jowar flour, Jowar Porridge, Kabuli Chana, Kali Musli (Curculigo orchioides), Kalmegh powder (Andrographis paniculata), Kalonji/nigella, Kasuri methi, Khandasari sugar, Kodo/Kodon Millet, Kokum/Garcinia, Lemon Fresh, Lemon grass root powder, Lemon juice, Lemon Powder, Lemongrass, lemongrass dehydrated, Lentil, Lentil dal, Lentil Flour, Lime Leaves Powder, Lint Cotton, Little millet, Mace, Mace Powder, Maida, Maize (Corn), Maize (Corn) Flake, Maize fodder, Maize/ corn porridge (Dalia), Maize/Corn flour, Malka Whole, Mango (fresh), Mango dried, Mango Flour/Powder, Mango Powder/ Aamchur, Manjista, Martynia annua (small fruit devil claw), Masala cashew, Masoor (Lens Culinaris), Masoor Dal, Masoor Dal-Split with out Shell, Masoor Flakes, Masur/Masoor dhuli, Matki/Moth Bean, Methi leaf/fenugreek leave, Millet Flour, Millet porridge, Mix Dal, Mix millet flour, Moong Dal, Moong dal (Vigna radiata (Extract), Moong Dal Flakes, Moong Dal Plain, Moong dal-Split, Moong Dal-Split with shell, Moong masala Papad, Moong papad (Plain), Moringa Powder, Moringa dried leaves, Moringa leaves, Moringa oleifera Leaf powder, moth dal, Moth Dhuli, Multi grain Atta, Mumbai Pau Bhaji Masala, Muskmelon seeds, Mustard, Mustard - Black, Mustard black powder, Mustard cake, Mustard oil (aroma/E. Oil), Mustard Oil (Refined), Mustard Powder, Mustard Seeds, Mustard small, Mutton Curry Masala, Neem bark, Neem leaves, Neem powder, Non-Basmati Paddy, Non-Basmati Rice, Nutmeg (Shelled), Nutmeg Whole, Oat - Dehulled, Oat flour, Oats (Flakes), Oats (Other than seed/grain), Oats (Rolled grains), Oil-cake and oil-cake meal of groundnut /Peanutexpeller variety, Okra/Bhindi, Olive oil, Olive Oil Edible grade, Olives Fresh, Onion, Onion (Powder), Onion flakes, Onion Fresh/ kanda, Orange, Oregano, Oregano leaves, Organic Broken Rice, Out Shelled Raw Cashew nuts, Paddy husk, Paddy-Sona Masuri, Papad/ plain papadum, Papaya (C.papaya), Paprika (Capsicum annuum), Pea- Dried, Pearl Millet/Bajra, Pepper long/Pippali (Piper longum), Peshawari Biryani Masala, Peshawari Tikka Masala, Pigeon pea, Pigeon pea/arhar whole, Pineapple, Pistachios, Poha / Chivda, Poha Flattened Rice, Pomegranate (fresh), Pomegranate dried seeds, Pomegranate seed powder, pomegranate seeds/anardana, Potato, Potato Dehydrated, Potato Powder, Proso millet, Psyllium husk (isobgul), Psyllium husk powder, Psyllium seed (isobgul), Puffed Rice brown, Puffed Rice Chivda, Pumpkin Seeds, Pumpkins (Fresh), Punjabi Rajma, Purple cabbage, Quinoa, Radish, Radish (White), Ragi (Finger Millet- other than seed), Ragi Flour, Ragi/Finger Millet grain, Raisins/Kismis, Rama Tulsi-Ocimum sanctum, Rapeseed Meal, Rapeseed Oil, Rapeseed/Rai/Rye, Rasam powder, Raw Cashewnut Kernels, Raw Cotton, Red Chilli (whole), Red Chilli Flakes, Red Chilli Powder, Red Flattened Rice, Red Gram, Red Kidney beans/Rajma (Phaseolus vulgaris), Red Lentil, Red onion powder, Red Rice, Red Rice Flour, Red Rice Paddy, Rice bran, Rice Flakes, Rice Flour, Rice hand pounded, Rice Porridge/dalia, Rice Puffed, Rice Sonamasuri Brown, Rice Sonamasuri Hand pound, Rice-Sona Masuri, Roasted Almonds, Roasted Gram/ chana, Roasted wheat, Rose, Rosemary, Sabji Masala, safflower cake, Safflower Seed Oil (Kardi Seed Oil), Saffron, Sambar Mix/ Sambar Powder, Sapota dried/dehydrated, Sapota fresh (chico), Sattu, Sawan/Barnyard Millet, Seed Mix, Sesame/Sesamum, Shahi Jeera/Cumin, Sorghum, Sorghum Flour, Sorghum Grain, Soyabean/Soybean White, Spearmint - Mentha spicata- TBC, Special Turmeric Powder, Spice Mix (Garam Masala), Split Chickpea/Kabuli Chana (garbanzos), Split Gram/Chana (Cicer arietinum), Split Green gram/Moong (Vigna sp.), Split Lentil, Split Pigeon pea/arhar/Red gram, Star Anise, Strawberries/Strawberry fresh, Strawberries/Strawberry Puree, Sugar, Sugar (Brown/Natural), Sugarcane, Suji/Semolina/ Cream of Wheat, Sunflower, Sunflower Flour, Sunflower oil: edible grade, Sunflower Seed Oil, Sunflower Seeds- Dehulled, Sunflower seeds: Of seed quality, sunflower seeds:oil-cake meal, Sweet Lime, Sweet lime Juice Powder, Tamarind dry (Imli), Tamarind fresh seeded(Imli), Tamarind Powder (Imli), Tamarind/Imli (T.indica), Tandoori Masala, Tea Tulsi Ginger, Terminalia bellirica powder, Thymes, Tomatoes (Fresh), Triphala Powder, Tulsi Powder, Tur/ Toor Dal, Turmeric Dried, Turmeric flakes, Turmeric Fresh, Turmeric Powder, Turmeric whole-dried, Turmeric Whole-fresh, Urad (phasleolus mungo) Black gram, Urad Dal Black Split, Urad Dal Split, Urad Dal-Spilt with Shell, Urad Dal-Split without Shell, Urad dal-Whole(White), Urad dal/Split Black gram, Urad dhuli, Urad Whole(black), Urd papad, Vegetable powder/ flakes, Vinegar, Virgin coconut oil, walnut, Walnut kernels, WALNUT PREPARATIONS, Walnuts: In Shell, Walnuts: Shelled, Water Melon Seeds, Wheat, Wheat (seed quality), Wheat Flakes, Wheat flour, Wheat flour/Atta (Machine Milled), Wheat grain, Wheat Maida, Wheat Pasta, Wheat Porridge/Dalia, Wheatgrass, Wheatgrass powder, White Cane Sugar, White Kidney beans/Rajma (Phaseolus vulgaris), White Pepper, White pepper crushed, White Pepper powder, White Rice flour, Whole Wheat Atta Premium, Yellow mustard, Yellow Mustard Powder/ ground",2025-03-08T10:24:01.948153
Agritech International Certified,ORG-2209-003403,Patan,agritechintl2022@gmail.com,"Registered Office Address: Milkat No-7/25/90, Behind Old Gunj Bazar, Visanagar Road, Unjha, Mehesana-384170 (Gujarat) Address of Authorized Premises: Survey No.195, Opp. Aatish Industries, Patan Sidhpur Road, At-Nedra, Patan-384151 (Gujarat), Patan, Gujarat",NPOP,validfrom 04/10/2023,03/10/2024,"Amaranth seed/ Ram dhana, Flax/Linseed, Hulled Sesame/Sesamum, Kalonji/nigella, Mustard Seeds, Natural sesame seeds, Psyllium seed (isobgul), Quinoa, Roasted Sesame, Soybean",2025-03-08T10:24:01.948434
AKASH COTEX Certified,ORG-2302-000270,Rajkot,akashcottex2017@gmail.com,"B/h Classic Cotton, Charkhadi Road, Rajkot, Gujarat",NPOP,validfrom 09/03/2024,27/02/2025,"Maize (Corn), Maize fodder, Onion Fresh/ kanda, Raw Cotton, Sorghum fodder",2025-03-08T10:24:01.948677
AKSHAR GINNING AND PRESSING INDUSTRIES Certified,ORG-2401-000212,Gir Somnath,akshargroupind@outlook.com,"Bhavnagar Road,NR Harbole Hotel,At, Gir Somnath, Gujarat",NPOP,validfrom 02/03/2024,01/03/2025,"Cumin whole, Groundnut/Peanut, Raw Cotton",2025-03-08T10:24:01.948925
Alland & Sayaji LLP Certified,ORG-2208-002774,Ahmedabad,dp@sayajigroup.in,"61/61E, Gujarat Vepari Maha Mandal, ODHAV, Ahmedabad, Gujarat",NPOP,validfrom 13/08/2023,12/08/2024,Gum Arabic,2025-03-08T10:24:01.949160
